产品SKU,产品浏览量,产品加入购物车次数
948,465,69
940,608,85
693,514,73
732,411,77
999,820,104
821,929,103
3718,828,111
3838,594,68
1018,304,75
3974,807,74
1565,1010,102
1000,660,78
818,415,72
662,470,84
1028,345,99
681,533,93
3790,391,75
716,682,108
677,463,69
3902,492,95
684,369,94
991,649,72
499,937,67
3904,578,61
670,599,96
713,481,87
1010,927,97
924,408,95
4044,402,73
3060,327,86
689,607,51
1136,396,98
722,295,91
1016,898,54
4021,698,56
683,370,78
755,606,93
830,439,73
820,395,49
741,701,69
751,287,87
483,1154,52
717,554,85
679,471,68
3451,679,56
3996,299,75
718,577,66
667,508,48
1004,402,57
3185,791,68
487,462,83
686,340,48
504,285,75
365,289,83
2999,485,62
844,312,55
698,625,56
730,271,54
500,458,54
3995,310,49
4045,410,77
775,294,62
3976,198,48
551,459,78
995,853,65
518,385,60
786,563,62
490,512,63
779,332,57
870,2740,729
862,2459,570
868,3007,602
3057,3832,545
852,2452,738
851,3008,399
277,1963,711
857,3193,619
2410,3293,601
850,2404,660
911,4611,693
901,2202,624
1941,3384,567
855,2579,519
1019,2355,542
919,2922,408
1160,1303,400
853,1616,424
872,1979,357
863,1808,406
856,3108,283
3997,2071,389
867,1521,321
875,2375,440
2101,1787,437
3977,1477,262
864,2093,427
3042,4816,316
3372,1890,271
3842,3448,340
879,1887,380
3978,991,306
887,1351,403
348,1758,368
1949,1474,227
878,1453,274
700,2244,245
511,956,211
2102,1489,272
866,1759,190
883,1923,280
907,1572,304
876,1665,215
936,1217,194
3271,2106,327
3643,1103,335
1252,1650,282
877,1395,300
888,1049,203
889,1283,233
886,1736,187
859,1387,174
865,2123,253
3840,1700,310
893,2370,281
922,663,299
871,1165,276
892,1164,240
663,881,296
2222,1236,302
1014,1139,288
891,1742,228
1022,1208,219
884,1078,206
2708,1218,293
438,842,256
912,1422,146
848,1462,154
4022,1509,150
908,1095,253
944,1238,202
894,1111,239
931,1301,240
895,889,146
1003,1183,271
969,1038,185
897,1330,229
1636,1235,202
909,802,176
869,1608,272
941,1654,218
997,1124,154
2738,1164,145
899,1726,265
1219,1435,210
2091,1035,265
3187,784,260
916,737,251
954,641,158
669,900,210
2010,845,223
952,1857,253
1889,866,218
1006,1940,196
923,993,203
1017,1400,166
896,781,215
937,1564,204
874,1431,239
880,821,204
881,2067,190
3644,900,238
913,766,198
2529,847,186
1520,802,137
3720,1023,170
747,798,122
660,990,187
674,934,145
920,1136,175
951,969,189
709,574,186
3908,1006,122
914,1060,187
3189,564,122
3188,1066,171
3998,737,172
928,1346,193
935,641,127
685,805,145
988,1044,128
947,1182,185
2923,546,131
904,1660,187
953,729,190
890,1192,179
976,440,159
3373,1146,160
697,1139,164
445,644,187
963,652,132
902,1137,161
771,1453,134
906,910,138
942,1037,152
435,793,192
3788,552,142
934,776,140
2104,688,176
994,849,166
967,486,116
1490,153,2
1493,17,2
1031,9,2
1,25,3
1951,38,2
1035,30,2
1036,29,2
1953,137,3
1734,57,3
1044,52,3
1736,133,2
1962,51,2
4046,20,3
2773,13,3
1964,180,3
4047,19,3
1511,40,2
1065,129,2
55,86,3
2379,20,2
1515,28,2
1071,25,2
3424,13,2
1897,51,3
2922,82,3
3466,41,2
4048,26,2
734,23,2
2498,18,3
1974,23,3
2563,22,2
1756,9,2
4035,23,2
1899,23,3
1540,19,2
3339,15,2
2706,87,2
112,103,3
1764,37,3
3594,17,3
3285,17,3
2161,30,3
3384,16,3
2947,10,2
1547,37,2
3540,22,3
1549,97,2
728,6,2
3850,17,2
1905,61,2
3651,33,2
1552,245,2
271,44,3
1129,219,2
1557,123,3
166,192,2
2796,46,2
1558,94,3
4049,11,2
1773,17,2
2575,45,3
275,244,2
2958,206,3
3205,13,2
1569,12,3
1140,40,3
1780,62,3
1142,20,3
1990,12,3
3174,8,2
2762,25,3
1148,16,3
3387,66,3
2964,8,2
2184,15,2
2965,13,3
2185,11,3
1787,42,2
1788,29,3
1579,27,3
3899,15,3
3894,10,2
3388,15,2
1582,19,3
2512,41,2
1174,53,2
2004,19,2
1916,60,3
2197,3,3
3164,4,3
3547,93,2
1188,18,2
1191,41,3
3766,41,3
2760,26,3
3478,85,3
1197,27,3
3955,30,2
1198,29,3
1795,17,3
1796,15,2
1600,33,2
3655,28,3
1601,25,2
3776,48,3
3856,18,2
1803,38,3
3299,135,2
2970,2,3
437,89,3
2017,20,3
170,38,2
3551,147,2
326,10,2
1613,129,2
2019,259,2
1924,54,2
24,191,2
2612,121,2
1245,21,3
3400,3,3
1621,47,2
284,32,3
1248,17,3
2915,62,3
2023,71,2
1825,114,3
929,99,2
1253,40,2
75,62,3
1258,18,2
1259,18,2
2718,17,3
1625,22,2
760,9,3
327,104,2
1631,16,2
1278,46,3
3858,9,3
3516,180,3
3559,30,3
1298,68,3
2625,23,2
2423,56,2
808,33,3
1644,27,2
3801,23,3
3483,33,2
1302,5,2
3669,9,3
4002,63,3
4050,10,2
4003,10,3
3186,13,3
2726,41,2
2730,49,2
1840,30,2
2644,4,3
1932,16,3
1331,19,2
2843,6,2
4051,14,2
3493,16,2
2521,215,3
1844,53,2
441,76,2
3251,11,3
3584,52,3
3749,56,2
2651,36,3
1355,55,3
4052,5,3
1357,86,3
4053,1,2
3937,10,3
2292,29,3
1848,39,2
1665,31,2
1368,21,3
2034,67,3
3319,14,2
2035,285,3
3771,35,2
3683,67,3
1670,13,3
1672,417,2
2038,44,3
2662,3,2
1390,12,2
1682,53,3
2856,41,2
3773,51,2
2440,21,2
1685,51,3
1401,21,2
1857,70,2
88,51,2
406,73,3
1414,30,3
2494,50,3
756,108,3
1418,27,2
1940,45,3
3010,13,3
1020,44,2
2446,19,3
1428,96,3
3873,10,2
2861,39,2
1701,81,3
1702,96,2
1433,22,2
3410,42,2
1705,31,2
2052,15,2
1435,60,3
1871,56,3
2053,69,3
1944,26,3
1872,30,2
151,48,3
443,83,2
1709,19,3
3787,32,3
1874,15,2
2682,16,2
4054,12,2
1447,17,2
92,10,3
3692,10,3
3757,8,2
1450,7,3
2685,16,3
2353,30,2
2355,9,2
1472,120,3
1882,11,2
3018,12,3
2065,79,3
1885,36,3
50,29,2
1488,72,3
1489,21,3
2369,5,2
3586,41,4
1952,192,5
3080,271,5
1733,191,4
2374,28,4
263,229,5
233,111,4
3259,125,6
1748,93,5
453,132,6
608,38,6
3910,92,6
1522,117,7
2759,62,4
3725,103,7
1971,102,4
1094,37,4
3980,121,4
4055,51,6
611,161,5
1762,37,7
2389,94,6
3239,47,7
8,61,4
1768,63,5
3786,28,5
2794,136,6
2487,21,4
1127,117,4
10,93,6
169,139,7
118,332,6
459,216,7
1991,45,6
1911,57,4
1912,41,5
2080,121,4
2467,30,6
393,80,7
3292,42,4
3854,152,5
3514,69,7
415,401,4
1584,41,5
2490,51,4
2515,30,7
1208,35,6
1212,18,6
1602,74,7
2413,39,7
1233,25,6
419,67,4
2896,23,5
2237,118,6
74,202,7
1820,29,7
2022,104,4
1623,25,5
1270,41,5
1626,83,6
2026,61,5
3450,102,4
835,135,5
1285,50,6
2421,52,5
1292,53,7
1294,37,4
1297,497,7
2422,62,7
1930,146,5
2984,87,4
1306,94,4
422,90,7
1646,44,5
3930,48,5
3485,24,4
400,59,4
80,52,7
3312,40,4
742,21,7
2510,33,7
3748,84,5
4056,146,6
4057,66,5
1933,76,6
246,74,6
3678,259,7
4058,96,4
2298,158,7
1671,54,5
34,285,7
2074,45,6
213,54,4
1384,16,6
345,186,7
293,51,5
295,84,4
3832,110,4
248,146,4
2508,37,4
405,462,7
249,278,6
1939,326,6
1420,32,6
298,354,5
1697,64,6
1700,37,7
148,49,7
3265,43,4
367,53,7
1442,13,4
2479,34,5
1875,15,7
3825,5,6
1877,21,4
386,116,7
847,531,5
546,547,7
93,87,4
1727,76,7
188,51,7
694,35,3
960,41,3
257,101,3
1950,27,3
1033,215,3
2537,31,3
2538,64,5
1955,86,3
1732,66,4
744,44,5
1957,67,4
3194,88,3
102,63,3
2775,243,4
3278,54,5
2125,69,4
2703,127,3
1513,45,3
3435,211,5
106,107,5
162,172,3
3035,31,4
108,74,5
1077,74,3
1896,83,4
1079,17,3
1969,39,5
56,121,3
1523,48,4
2749,86,5
2145,134,5
1755,21,3
1759,29,4
1112,337,4
3538,71,4
1536,13,5
2154,81,5
828,58,5
3650,61,5
1126,41,3
1907,23,4
1980,58,5
272,413,4
274,55,5
1567,184,4
11,7,3
1986,20,5
2582,27,5
1155,26,5
2401,24,5
3105,16,5
2801,18,5
900,35,4
2188,22,3
2001,144,5
3920,124,4
1792,47,4
1187,32,5
945,52,3
1921,31,3
4013,19,4
1799,62,5
1801,66,5
462,337,5
4010,10,3
1220,167,4
2229,35,3
2018,35,3
72,73,4
2814,177,4
2816,3,4
1615,80,4
1925,34,4
23,138,3
2611,37,5
2825,126,5
1821,46,3
556,57,5
3246,43,3
1255,95,3
2755,16,3
133,59,3
1629,36,4
3046,175,3
1637,14,4
2027,34,3
1295,7,5
2028,15,4
1929,11,4
2424,5,5
3359,14,5
4059,5,5
2271,8,4
715,207,5
2280,84,3
81,19,3
1842,9,5
3973,17,3
4033,26,4
4030,31,3
3887,78,5
3253,178,5
1363,37,5
2519,110,4
1849,31,4
3783,74,4
1378,27,4
3029,28,5
2905,32,5
1681,54,4
2475,60,3
1938,74,3
3704,10,4
3007,41,3
3813,41,4
313,66,3
3159,31,4
2443,92,3
858,40,3
1426,90,4
1863,244,3
2673,82,4
2330,48,3
180,352,4
1698,46,4
1867,36,3
1868,78,3
90,75,4
2741,25,3
3877,45,3
2920,18,5
3045,59,3
800,0,3
1711,43,3
223,16,5
4060,13,4
2060,17,5
2511,11,4
2061,9,3
4061,19,3
3966,73,3
2879,10,5
2454,16,4
3784,132,5
1886,44,5
2066,59,5
306,15,5
96,45,3
98,50,5
2884,115,8
258,179,7
1005,114,7
353,52,7
3255,224,9
3535,195,8
1894,58,9
1739,77,6
2779,134,9
2549,60,6
1083,26,9
454,153,8
1524,40,5
1525,95,7
58,90,7
1098,183,7
1973,158,9
3893,67,8
309,115,5
3827,80,5
1767,83,5
1904,325,7
235,167,9
1141,39,6
197,106,7
1150,100,5
565,20,8
3918,40,7
325,324,9
737,15,9
1181,132,9
337,49,6
338,138,5
4027,26,9
1218,205,8
171,77,9
517,39,6
2818,63,7
2021,68,5
375,109,9
1239,129,6
465,61,9
772,56,8
1828,35,7
807,49,6
2025,115,6
2505,118,6
3928,101,8
3957,83,8
2425,31,5
136,193,8
1836,59,8
3349,104,8
2069,41,5
2072,26,9
3888,165,7
139,95,8
211,177,6
2286,59,7
470,90,8
3041,167,8
603,136,7
1376,405,5
822,58,8
1377,79,9
35,115,6
86,163,5
1403,103,6
366,79,5
442,216,7
1694,190,7
429,678,8
3774,82,7
3181,47,9
41,71,9
3837,92,8
3900,95,7
301,40,9
3990,59,7
368,57,5
46,18,5
3693,28,7
4039,22,6
656,231,9
2063,48,9
1720,315,6
305,55,5
49,58,9
97,27,6
