产品SKU,产品浏览量,产品加入购物车次数
533,149,32
330,158,20
568,154,21
212,663,19
2651,351,25
581,528,23
3178,136,17
542,183,33
3365,381,18
628,143,32
846,129,29
333,111,31
594,71,18
449,81,28
4017,320,27
1547,425,21
754,314,29
391,169,22
833,394,23
493,235,24
600,221,21
339,102,22
636,348,30
1326,264,24
4020,159,18
4062,120,22
344,292,22
2039,356,19
3227,580,17
1693,230,22
637,758,30
552,242,18
331,139,30
3433,97,20
582,173,25
355,198,28
321,246,20
832,196,15
528,216,21
758,200,15
3967,186,16
362,106,22
328,262,24
1314,309,16
2638,437,28
650,191,27
245,224,23
4064,187,26
4186,134,26
427,134,23
810,307,25
779,293,19
218,233,19
4187,106,23
3526,101,20
617,174,26
385,46,28
3785,39,15
1476,157,21
1501,370,16
1743,242,21
512,225,23
2157,94,16
554,84,25
336,327,16
539,171,24
1590,168,21
644,215,25
990,261,26
764,297,22
645,125,24
173,127,14
1268,435,20
342,227,26
174,162,20
209,148,16
3048,114,17
4057,197,24
3529,216,20
520,666,27
4139,135,15
3446,112,19
352,22,26
563,95,26
686,502,41
534,260,63
707,534,46
708,247,77
365,357,45
480,749,77
667,563,55
664,259,42
825,317,39
3976,215,48
509,202,62
662,284,69
3718,547,73
815,632,72
786,548,57
314,160,44
948,184,44
999,718,46
516,213,36
716,446,64
2093,517,48
757,418,60
820,577,54
3974,460,61
3453,127,46
432,763,45
503,276,35
1016,467,37
2531,207,52
777,302,50
823,408,39
1719,720,60
676,166,49
2131,574,62
770,182,53
3565,842,61
1025,524,44
3712,367,40
3714,443,54
3789,314,60
606,975,58
1028,276,42
4067,253,51
3641,352,59
743,370,55
724,580,53
718,736,40
704,607,37
706,214,60
1536,768,53
3970,208,59
775,345,54
3295,330,35
3906,384,35
804,533,57
717,542,50
3709,206,31
654,193,51
498,295,47
655,101,48
3056,295,31
857,293,52
798,373,53
4066,156,51
730,291,48
805,278,30
4188,235,40
474,283,36
1965,384,49
586,350,34
2076,484,33
486,272,49
834,254,46
3436,316,30
3905,265,38
817,119,42
571,197,47
753,189,44
569,558,38
2043,471,50
1864,490,54
632,78,34
387,223,41
830,255,39
3993,188,52
4189,248,32
4160,230,43
518,518,41
678,789,39
627,225,48
3182,184,51
3448,186,53
2922,466,46
3904,297,49
782,402,39
3184,215,28
3263,335,28
507,97,29
4138,212,33
4137,215,37
812,294,40
787,1039,30
729,502,41
543,97,51
479,164,41
800,199,49
537,336,42
806,290,38
2140,228,48
3836,231,33
550,227,44
3971,105,36
1710,259,30
3183,137,40
1154,514,27
1269,171,44
4158,147,47
661,319,29
561,261,44
4119,553,35
769,116,34
477,184,31
3051,324,29
492,347,23
1915,305,38
3364,120,27
614,228,35
766,291,40
540,165,31
2096,231,36
559,148,38
3903,275,29
524,1609,28
3412,266,34
3180,260,35
482,109,24
906,970,123
2049,528,150
3042,4073,180
947,736,117
673,359,164
967,645,169
935,783,146
890,732,124
445,909,168
977,684,166
2738,1265,136
953,595,89
861,1180,97
685,992,94
973,734,118
987,678,92
3720,622,167
1001,944,121
970,1116,157
934,438,119
2100,595,104
1013,1055,129
963,671,123
914,960,164
920,1047,164
4068,1108,146
814,338,113
903,1053,110
435,832,124
674,798,126
1002,685,146
955,1014,114
961,901,91
591,868,139
658,362,115
2529,686,146
980,628,137
949,712,101
932,948,101
971,952,82
693,424,91
904,1212,91
1695,1423,125
1024,493,125
4105,1132,137
994,694,144
982,538,79
3952,746,85
797,576,120
996,560,141
3841,603,140
747,713,137
776,625,72
2465,1275,130
666,480,103
499,942,127
791,759,81
991,596,82
983,744,92
783,525,77
4021,581,84
665,429,101
958,853,126
723,327,126
720,606,76
845,331,131
801,768,76
998,668,97
1027,821,77
1018,332,105
3902,879,114
986,507,110
965,679,107
978,658,72
943,731,115
2923,458,125
939,417,94
975,637,68
1301,627,73
751,604,66
3907,630,71
347,677,116
3374,390,109
688,352,103
981,508,72
957,283,93
508,655,92
771,699,109
3713,547,100
1026,435,70
733,516,102
1012,1299,81
4045,599,91
3975,855,106
927,736,110
3273,666,59
2528,286,103
483,728,88
3271,375,61
551,307,69
2739,559,67
672,896,98
1007,1187,90
1015,262,62
1004,341,108
946,507,75
681,550,110
3644,967,77
697,709,105
719,387,98
1011,268,66
732,680,78
677,333,105
3790,503,71
3842,1251,98
1000,1174,103
698,585,61
2104,472,65
1008,426,56
3645,523,89
490,479,80
88,433,96
500,432,61
3716,406,65
526,590,68
1136,351,92
755,446,101
3788,567,83
722,400,57
579,435,96
993,764,70
966,412,87
3452,760,56
1565,716,55
713,476,61
684,504,57
750,292,55
761,1010,85
995,550,88
1010,618,95
3234,788,83
689,558,90
818,409,70
741,873,55
799,554,75
4163,379,82
670,477,59
682,444,83
3266,287,81
3719,732,58
821,1002,51
844,367,57
762,341,67
476,336,53
267,486,47
3060,409,80
675,459,70
796,199,45
3188,525,44
2530,402,75
725,401,48
851,4462,687
277,3909,474
862,4161,545
911,3036,671
868,2452,593
870,2337,644
4140,3390,405
858,3312,568
855,2663,530
828,4594,352
853,2139,526
852,2339,281
872,2446,334
1941,1649,533
854,1265,319
3057,1718,453
850,1391,436
1649,1653,308
348,1168,350
901,2203,260
3977,1258,366
2101,2180,254
866,1713,332
863,2157,383
2102,1548,431
1770,1360,398
377,3642,360
856,2645,267
883,1263,421
548,1253,387
864,1607,391
878,1053,273
1949,1356,273
887,1713,281
4164,1425,402
875,2403,223
511,2315,297
1019,1480,233
1160,1832,270
3997,1078,350
3189,1760,320
877,1174,326
919,740,356
1252,1522,313
789,1642,204
882,1356,305
1636,1652,202
879,1330,312
4165,4189,304
865,1721,230
848,1881,211
1022,1522,204
952,2074,191
1214,1021,271
3372,1415,290
936,1591,183
1219,800,239
859,1063,188
3840,1870,230
1014,1143,175
69,2037,229
874,1565,298
897,1258,161
889,1270,287
893,1919,285
2103,1282,263
891,1614,251
3643,891,206
892,998,174
3187,918,183
931,1226,147
3998,1042,244
880,1092,246
2010,641,265
895,1119,240
886,1873,173
894,719,195
888,1377,214
896,675,257
869,990,215
871,1435,211
912,1389,232
2222,1812,139
954,719,250
944,1259,174
660,608,161
876,1145,227
988,836,182
909,1254,206
942,963,145
884,942,217
907,1125,155
873,895,169
3996,689,139
976,637,170
1889,908,177
1520,757,189
669,938,173
867,1318,178
2237,992,192
928,1218,174
1017,995,158
916,695,216
940,1131,177
899,1564,169
908,1037,124
984,996,194
989,700,201
1097,907,194
924,733,160
941,978,183
572,1053,193
709,860,124
962,902,122
3908,1311,137
3978,685,176
4044,804,162
969,921,156
2091,1279,109
905,859,186
4111,4121,187
902,1088,170
1003,699,101
1087,514,143
881,1100,169
898,731,154
923,1057,195
997,676,169
992,734,137
663,648,155
1006,1226,145
922,547,146
937,1372,124
694,13,3
3578,6,3
2107,66,3
1890,20,3
1034,27,2
1036,34,3
1733,151,3
2916,18,2
2461,41,2
100,64,2
102,24,3
1739,53,3
1963,78,3
2779,170,3
1511,29,2
1065,47,2
1071,42,2
1744,11,3
3035,44,2
2134,108,3
1079,18,2
2382,8,3
3910,44,3
1751,23,2
2137,78,2
3725,84,2
1971,51,2
1972,15,3
2145,36,2
1755,25,3
3980,94,3
4016,32,2
4097,51,2
4000,51,3
611,49,3
2151,92,2
111,46,3
1761,43,2
1762,57,3
1543,25,2
1116,15,3
4022,100,3
4190,31,3
4173,49,3
3595,29,3
1549,34,2
1124,20,2
3969,39,3
2165,29,3
1982,45,3
2168,16,3
1773,14,3
2575,31,2
2890,6,2
1984,52,3
1776,38,2
1777,37,3
3205,7,3
3580,9,3
3163,90,3
3174,12,2
1781,19,3
2799,19,2
1992,79,2
1912,57,2
1152,7,2
1995,51,3
1155,20,3
2801,26,3
1997,36,2
1999,18,2
4177,8,3
900,33,3
1161,10,3
65,21,3
14,15,3
1167,13,3
2403,27,2
3514,76,2
1584,31,3
1793,26,2
279,176,3
2201,49,2
3112,12,3
1187,41,3
1197,47,2
281,37,2
1922,49,2
3177,20,3
2011,212,2
3992,15,3
1208,18,2
1601,46,3
1798,38,3
122,34,3
2601,3,2
2968,115,3
622,14,3
3776,31,3
3150,33,2
3393,19,2
2503,48,3
3549,24,3
3886,18,2
3922,61,2
3432,32,3
840,29,3
3985,24,3
2230,15,3
72,68,3
3551,116,2
2021,50,2
4078,118,2
132,46,2
2825,125,3
1817,277,3
3925,13,3
2416,13,3
1249,221,3
465,50,3
1824,15,3
1255,80,2
2244,39,2
1625,54,3
327,51,2
2026,35,2
1629,48,2
3213,31,3
1631,14,3
1278,32,2
3046,88,2
3517,34,2
1831,16,3
2421,17,3
1298,94,2
1641,53,2
4178,32,3
3861,36,3
4191,3,3
3521,19,2
2730,52,2
1838,20,3
1840,50,2
2644,9,3
2901,14,2
2283,28,3
1337,6,2
4192,27,3
1347,13,2
211,39,2
1349,20,2
3451,91,2
1362,39,3
3041,159,3
1665,57,3
1370,21,2
3619,16,2
1672,408,2
34,152,3
1377,59,3
1378,21,2
213,65,3
1384,29,2
2308,35,2
1679,16,2
951,41,3
2663,8,2
145,8,3
2735,9,3
2475,77,3
1685,47,2
2757,15,3
1401,14,2
2047,9,2
3225,20,2
2442,70,3
3007,17,2
2494,19,2
2322,53,3
1416,13,3
1418,41,2
313,14,2
570,48,3
1426,11,3
2446,56,2
2330,43,3
3228,10,2
1698,25,3
1699,11,2
1701,36,2
1433,27,3
3410,58,3
2052,35,2
4083,163,2
2920,33,2
2918,31,3
3045,26,2
43,16,2
4193,13,3
4114,7,3
155,12,2
255,4,3
4153,6,2
4084,4,3
4094,5,3
1714,7,3
4194,1,2
1449,27,2
4195,3,3
3757,1,2
3818,73,2
1455,61,3
4130,50,3
4196,35,2
2454,19,3
656,278,2
2360,5,3
1882,31,3
1474,95,2
1885,31,3
2066,63,2
3422,2,3
1727,69,3
3586,52,5
1731,21,3
4157,22,4
3080,189,4
1954,63,3
4023,24,5
619,20,3
3456,15,5
230,66,5
1735,169,4
1959,12,5
4,230,4
1962,49,4
1964,141,5
3465,202,5
266,71,3
452,303,4
1746,35,3
1748,35,3
1750,26,5
3911,36,4
2748,31,3
2759,44,3
3782,25,4
1525,55,5
1527,51,4
1095,23,4
2387,14,3
1106,8,4
4055,31,5
269,50,4
1902,63,5
4197,6,3
457,76,4
3786,40,4
1126,22,5
10,57,3
1558,105,3
4198,99,3
1560,15,4
335,143,3
1567,208,3
1569,9,3
1780,42,4
1988,44,5
198,28,5
1150,33,4
1993,35,3
393,82,4
1788,40,5
1579,48,4
3854,21,4
1580,25,4
4102,39,4
236,185,3
325,375,5
2204,21,5
1919,38,5
1188,29,5
3736,15,3
2490,30,5
1794,68,5
1202,23,4
4013,39,4
2806,13,3
1604,49,5
337,51,3
3151,79,5
2410,131,4
1802,52,4
3426,70,5
1609,27,3
1222,39,3
1811,54,4
1814,67,4
1925,35,5
74,173,5
1246,43,4
2241,20,3
466,63,4
1628,35,3
807,49,3
4093,10,3
1637,22,3
1646,37,4
136,69,5
3130,10,5
2428,113,3
1321,32,4
3561,36,3
3671,31,4
311,169,4
81,22,4
1842,18,5
2089,24,5
1345,6,5
2517,69,5
1357,83,4
1360,54,4
3253,213,5
1671,55,5
560,70,5
293,55,3
2044,120,4
3832,51,3
296,67,5
1856,55,4
1403,68,5
406,91,5
3169,22,3
3896,57,4
1940,67,3
2478,107,3
1863,345,4
703,97,4
252,76,4
1866,134,3
148,50,5
217,19,3
149,116,3
2337,37,5
150,93,4
1442,28,4
616,115,3
2479,16,5
1874,17,4
4092,9,4
4106,9,3
2060,9,3
4180,8,3
45,17,3
1447,18,3
46,12,4
92,13,4
3692,18,4
156,27,4
481,842,5
562,835,3
4087,21,3
1720,279,5
3784,102,4
96,50,3
1488,78,5
2884,229,5
1055,111,5
2703,168,7
633,67,5
4159,17,6
453,108,4
4199,50,6
1094,34,5
1098,258,6
319,49,5
1973,79,6
4041,45,7
3239,89,7
4072,109,5
113,42,6
59,250,7
3915,62,6
2708,44,7
115,140,6
1132,104,4
1140,29,4
1142,18,6
565,49,4
199,161,5
2001,136,4
621,267,4
2516,70,4
3839,127,4
3210,13,7
4086,32,5
1917,92,4
2082,120,5
2085,45,7
3114,1051,4
3921,36,5
127,29,5
1610,72,6
22,52,6
1240,61,4
1816,77,6
1821,49,5
2024,40,6
75,45,6
1827,67,5
1828,26,4
133,59,5
2256,55,6
2422,64,5
2900,107,6
4113,112,5
3931,251,5
4181,31,6
2280,511,6
3349,117,7
1932,26,6
2763,18,5
2506,71,7
2766,15,6
3139,205,5
1844,33,6
2507,71,7
424,60,6
3405,231,5
426,63,4
1933,93,5
246,75,4
1361,165,5
2519,71,5
3683,69,6
3029,34,5
144,493,7
1385,11,7
35,73,7
86,121,4
1388,103,7
295,55,6
1857,47,4
1938,82,5
3704,16,4
298,419,6
1867,95,7
2050,88,6
3170,73,4
2051,164,6
3876,235,6
3892,78,6
151,62,4
1946,59,7
430,55,5
4161,7,6
4085,16,7
545,263,7
4126,106,6
2495,30,5
4116,136,4
4200,28,5
847,414,6
2482,64,7
4133,47,7
4123,51,5
4170,64,5
2063,47,7
49,17,6
95,37,5
3076,23,5
1888,94,6
1955,69,8
1891,154,10
1005,77,8
1957,471,11
190,63,9
4046,182,6
3535,301,11
1894,46,10
2775,291,7
1966,64,9
162,181,9
1080,57,11
58,64,9
192,136,11
268,79,6
1542,219,6
3827,118,10
1557,138,11
168,59,10
357,255,9
1986,49,9
2182,71,9
4025,27,11
1785,151,7
13,64,6
1792,79,8
203,41,6
1213,83,6
68,70,6
124,154,8
3053,194,8
3581,54,10
2412,167,8
437,105,6
171,103,10
419,91,9
2234,351,10
3516,138,10
2260,89,10
1299,84,11
2983,126,8
2634,49,6
329,98,8
2510,38,11
243,27,10
1662,191,6
2850,142,8
291,473,7
1675,134,11
1682,92,7
472,412,6
297,214,11
3171,34,8
350,46,8
221,33,6
2682,35,9
1947,24,11
2058,29,6
1875,21,10
3946,109,7
4095,146,11
256,59,8
50,43,7
960,39,5
2698,50,5
257,120,7
4019,44,7
1952,134,8
2537,29,5
189,91,6
1893,121,7
3255,239,5
3259,131,7
1741,76,7
1068,40,6
1513,34,5
163,32,6
1082,43,9
3199,86,6
1523,63,6
2385,88,5
2142,167,7
8,99,9
2792,20,6
1904,408,9
3828,48,6
1905,37,8
1771,36,5
2167,292,7
1564,8,6
196,49,7
169,94,7
1141,86,7
1991,60,6
3387,79,8
3107,76,7
737,38,5
1595,158,7
2966,74,9
1600,40,8
2012,96,8
1801,99,9
1218,79,7
1220,56,7
2229,29,6
623,161,6
4112,30,6
3708,83,9
1248,37,6
3175,37,9
3246,89,9
1623,41,6
25,118,7
1263,48,5
1272,81,7
3248,293,6
1286,44,9
1296,64,6
2984,107,6
422,80,8
2272,245,8
4201,69,5
1654,221,7
624,151,6
137,70,6
2069,49,5
378,172,7
496,129,9
3987,162,6
4110,57,9
4202,29,7
175,70,8
2032,220,6
289,163,5
83,102,9
2033,59,6
1846,187,8
2292,55,5
603,228,9
2298,222,6
2035,90,5
345,53,7
428,153,7
3773,49,5
651,30,8
2508,54,9
366,59,8
442,123,8
216,171,7
1862,128,5
2673,80,7
1697,74,8
2332,38,6
1865,18,7
3265,76,6
3328,82,7
1944,27,8
91,80,6
2056,73,5
4054,13,6
4065,18,9
4042,22,7
44,27,5
2511,9,5
304,49,9
4061,22,5
3438,21,7
1472,148,9
158,54,8
