user_id,age,level,sex,orders,values,recent_date
4402,25,High,Female,427,191230,2018/2/11 12:24:28
4715,31,High,Female,351,315128,2018/2/11 12:24:28
6239,33,High,Male,499,324546,2018/2/11 12:24:28
7261,38,Low,Male,378,174571,2018/2/11 12:24:28
7415,27,High,Male,182,162343,2018/2/11 12:24:28
7735,47,High,Male,265,189123,2018/2/11 12:24:28
7893,30,High,Female,820,104965,2018/2/11 12:24:28
1223,43,High,Male,643,413297,2018/2/12 12:24:28
1732,32,High,Male,964,496743,2018/2/12 12:24:28
3568,53,High,Female,375,209022,2018/2/12 12:24:28
5863,42,High,Male,151,110028,2018/2/12 12:24:28
6709,29,High,Female,404,293287,2018/2/12 12:24:28
8975,23,High,Female,753,223019,2018/2/12 12:24:28
73,23,High,Male,342,211678,2018/2/13 12:24:28
341,33,High,Male,131,85043,2018/2/13 12:24:28
607,27,High,Female,354,109881,2018/2/13 12:24:28
825,26,High,Male,353,280093,2018/2/13 12:24:28
1414,53,Low,Male,176,130703,2018/2/13 12:24:28
1623,27,High,Female,436,284196,2018/2/13 12:24:28
1907,44,High,Male,62,32000,2018/2/13 12:24:28
2962,44,Normal,Male,460,178385,2018/2/13 12:24:28
3205,52,High,Female,942,141301,2018/2/13 12:24:28
6510,45,High,Male,208,110171,2018/2/13 12:24:28
6597,31,High,Female,710,181824,2018/2/13 12:24:28
6647,61,High,Male,235,176839,2018/2/13 12:24:28
7018,45,Low,Female,362,112305,2018/2/13 12:24:28
7548,43,High,Male,221,203637,2018/2/13 12:24:28
469,35,High,Male,539,285020,2018/2/14 12:24:28
486,38,High,Male,105,91039,2018/2/14 12:24:28
1322,23,Low,Male,342,275244,2018/2/14 12:24:28
1509,30,High,Female,69,31985,2018/2/14 12:24:28
2984,42,High,Male,256,194636,2018/2/14 12:24:28
3286,47,Low,Male,1130,161676,2018/2/14 12:24:28
4625,25,High,Female,861,262778,2018/2/14 12:24:28
7013,19,High,Male,762,183041,2018/2/14 12:24:28
7102,36,High,Male,144,122493,2018/2/14 12:24:28
95,29,High,Male,222,115585,2018/2/15 12:24:28
881,54,Low,Male,1042,406468,2018/2/15 12:24:28
1082,44,High,Male,316,120539,2018/2/15 12:24:28
3658,46,High,Male,1282,271828,2018/2/15 12:24:28
5031,30,Low,Female,489,211840,2018/2/15 12:24:28
5117,49,High,Male,246,194895,2018/2/15 12:24:28
515,34,High,Male,554,108116,2018/2/16 12:24:28
1763,59,High,Male,169,147707,2018/2/16 12:24:28
2879,81,Low,Female,309,114670,2018/2/16 12:24:28
2933,23,High,Male,1193,268525,2018/2/16 12:24:28
4306,22,High,Male,132,100345,2018/2/16 12:24:28
4374,54,High,Female,184,146409,2018/2/16 12:24:28
5073,34,High,Male,82,45522,2018/2/16 12:24:28
5830,26,Low,Female,1385,267431,2018/2/16 12:24:28
7622,33,Other,Male,859,452924,2018/2/16 12:24:28
7671,56,High,Female,806,155657,2018/2/16 12:24:28
9376,47,High,Male,803,303637,2018/2/16 12:24:28
9394,33,High,Female,234,104509,2018/2/16 12:24:28
9688,42,Low,Female,433,250536,2018/2/16 12:24:28
9868,28,High,Female,218,156819,2018/2/16 12:24:28
490,34,High,Female,1686,187251,2018/2/17 12:24:28
916,64,High,Male,43,29825,2018/2/17 12:24:28
1089,29,High,Female,1704,260729,2018/2/17 12:24:28
3628,57,High,Female,310,145189,2018/2/17 12:24:28
4817,23,Low,Female,188,183327,2018/2/17 12:24:28
6606,38,High,Female,817,343403,2018/2/17 12:24:28
7568,17,High,Male,246,221129,2018/2/17 12:24:28
8436,41,Low,Female,267,111891,2018/2/17 12:24:28
9268,69,High,Male,1116,170877,2018/2/17 12:24:28
9310,50,High,Male,179,30008,2018/2/17 12:24:28
9707,49,High,Male,38,28334,2018/2/17 12:24:28
2423,54,High,Female,544,137678,2018/2/18 12:24:28
2566,36,Normal,Male,1126,153205,2018/2/18 12:24:28
5332,19,Low,Female,479,308064,2018/2/18 12:24:28
6272,46,High,Female,167,141483,2018/2/18 12:24:28
7538,43,High,Male,268,244172,2018/2/18 12:24:28
7833,38,High,Male,165,127961,2018/2/18 12:24:28
2238,63,High,Male,370,215833,2018/2/19 12:24:28
3629,37,High,Male,763,233490,2018/2/19 12:24:28
3751,26,High,Male,132,78172,2018/2/19 12:24:28
4670,34,High,Male,354,155343,2018/2/19 12:24:28
5188,52,High,Female,187,102346,2018/2/19 12:24:28
5223,50,High,Male,1297,343847,2018/2/19 12:24:28
6258,20,Normal,Male,150,116666,2018/2/19 12:24:28
6969,56,High,Female,623,444089,2018/2/19 12:24:28
7330,24,Low,Male,652,493034,2018/2/19 12:24:28
8101,44,High,Male,383,191256,2018/2/19 12:24:28
8598,28,High,Male,311,206125,2018/2/19 12:24:28
9135,19,High,Female,323,199441,2018/2/19 12:24:28
9170,26,High,Female,688,177035,2018/2/19 12:24:28
1146,34,High,Male,228,117529,2018/2/20 12:24:28
1881,45,High,Male,144,112283,2018/2/20 12:24:28
3168,20,High,Male,264,221955,2018/2/20 12:24:28
4413,26,High,Male,463,213258,2018/2/20 12:24:28
5231,54,High,Male,192,165278,2018/2/20 12:24:28
5679,28,High,Male,197,190367,2018/2/20 12:24:28
5905,42,High,Male,461,323790,2018/2/20 12:24:28
6594,51,High,Male,308,306784,2018/2/20 12:24:28
6759,20,High,Female,782,112668,2018/2/20 12:24:28
6924,20,High,Female,175,168863,2018/2/20 12:24:28
7084,18,High,Male,956,716066,2018/2/20 12:24:28
7393,38,High,Male,454,241153,2018/2/20 12:24:28
8524,22,Low,Female,858,246386,2018/2/20 12:24:28
873,49,High,Female,72,72393,2018/2/21 12:24:28
2436,60,High,Male,599,224377,2018/2/21 12:24:28
2523,19,High,Female,695,192773,2018/2/21 12:24:28
4770,27,High,Female,311,116531,2018/2/21 12:24:28
5747,20,High,Female,203,107658,2018/2/21 12:24:28
6562,23,High,Female,338,120910,2018/2/21 12:24:28
8104,37,High,Male,1892,312271,2018/2/21 12:24:28
8752,37,High,Male,328,312232,2018/2/21 12:24:28
9118,48,Low,Male,412,156410,2018/2/21 12:24:28
361,43,High,Male,706,174575,2018/2/22 12:24:28
2578,60,High,Male,322,76127,2018/2/22 12:24:28
3222,49,High,Male,331,203039,2018/2/22 12:24:28
4492,31,High,Male,191,110643,2018/2/22 12:24:28
5193,58,High,Male,179,142182,2018/2/22 12:24:28
5816,41,High,Male,244,120539,2018/2/22 12:24:28
7906,40,High,Male,1114,209547,2018/2/22 12:24:28
8049,57,High,Female,339,255109,2018/2/22 12:24:28
8604,58,High,Female,671,201344,2018/2/22 12:24:28
9561,34,High,Female,542,188900,2018/2/22 12:24:28
9942,42,High,Male,313,91836,2018/2/22 12:24:28
458,54,Low,Male,1481,288825,2018/2/23 12:24:28
4315,22,High,Female,963,195532,2018/2/23 12:24:28
4661,19,High,Male,530,386378,2018/2/23 12:24:28
5071,46,High,Male,320,265275,2018/2/23 12:24:28
5250,57,High,Male,683,319733,2018/2/23 12:24:28
6530,28,High,Male,274,125527,2018/2/23 12:24:28
6961,27,High,Male,156,151382,2018/2/23 12:24:28
7546,35,High,Female,249,133906,2018/2/23 12:24:28
7584,18,High,Female,238,118847,2018/2/23 12:24:28
8819,26,High,Female,566,152436,2018/2/23 12:24:28
9088,18,High,Female,599,163787,2018/2/23 12:24:28
637,31,High,Male,62,55849,2018/2/24 12:24:28
1796,57,High,Male,481,114495,2018/2/24 12:24:28
3203,52,High,Male,298,134447,2018/2/24 12:24:28
3650,46,High,Male,197,176863,2018/2/24 12:24:28
4389,38,High,Male,162,149419,2018/2/24 12:24:28
4529,36,High,Male,39,37019,2018/2/24 12:24:28
6313,30,Low,Male,273,179112,2018/2/24 12:24:28
6430,31,High,Male,382,356689,2018/2/24 12:24:28
6560,20,Normal,Female,273,163003,2018/2/24 12:24:28
6596,18,High,Male,2422,387641,2018/2/24 12:24:28
7389,68,Low,Female,420,170182,2018/2/24 12:24:28
7582,32,Other,Male,832,227214,2018/2/24 12:24:28
7762,38,High,Male,188,120074,2018/2/24 12:24:28
7777,53,High,Male,311,153486,2018/2/24 12:24:28
8267,25,High,Male,269,209428,2018/2/24 12:24:28
8330,31,High,Male,300,226443,2018/2/24 12:24:28
8431,21,High,Female,322,107882,2018/2/24 12:24:28
923,19,High,Female,58,52114,2018/2/25 12:24:28
1860,63,Low,Male,578,174018,2018/2/25 12:24:28
2885,40,High,Female,793,96055,2018/2/25 12:24:28
4012,31,High,Male,316,225053,2018/2/25 12:24:28
4275,26,High,Female,440,269060,2018/2/25 12:24:28
4550,42,Low,Male,439,220049,2018/2/25 12:24:28
4621,50,High,Male,180,162632,2018/2/25 12:24:28
6571,31,High,Male,162,114639,2018/2/25 12:24:28
8472,69,Low,Male,618,512992,2018/2/25 12:24:28
8699,21,High,Male,496,494638,2018/2/25 12:24:28
9004,31,High,Female,415,157078,2018/2/25 12:24:28
9940,39,High,Male,458,126675,2018/2/25 12:24:28
153,21,High,Male,376,296158,2018/2/26 12:24:28
2373,22,High,Male,523,189950,2018/2/26 12:24:28
5485,33,High,Male,228,158416,2018/2/26 12:24:28
6136,36,High,Female,567,173804,2018/2/26 12:24:28
6732,52,High,Female,549,424012,2018/2/26 12:24:28
6838,48,High,Male,124,85341,2018/2/26 12:24:28
7124,30,High,Female,861,211028,2018/2/26 12:24:28
8366,66,High,Male,432,101607,2018/2/26 12:24:28
1119,41,High,Male,532,154374,2018/2/27 12:24:28
1488,49,High,Male,167,50282,2018/2/27 12:24:28
5794,25,High,Female,546,394820,2018/2/27 12:24:28
6978,31,Low,Female,598,159737,2018/2/27 12:24:28
199,24,High,Male,72,32921,2018/2/28 12:24:28
1073,58,High,Male,86,81642,2018/2/28 12:24:28
1242,30,High,Male,1144,283767,2018/2/28 12:24:28
3441,31,High,Male,215,194055,2018/2/28 12:24:28
4527,19,High,Male,279,236396,2018/2/28 12:24:28
7050,58,High,Male,342,314153,2018/2/28 12:24:28
7935,45,High,Male,769,205424,2018/2/28 12:24:28
9480,34,High,Male,397,226296,2018/2/28 12:24:28
9887,29,High,Female,268,239632,2018/2/28 12:24:28
1756,29,High,Male,55,52199,2018/3/1 12:24:28
4764,26,High,Female,248,150361,2018/3/1 12:24:28
5000,32,High,Male,588,473133,2018/3/1 12:24:28
6815,57,High,Male,277,250201,2018/3/1 12:24:28
9217,52,High,Male,129,108435,2018/3/1 12:24:28
1908,21,High,Female,425,124242,2018/3/2 12:24:28
3268,24,High,Male,64,54560,2018/3/2 12:24:28
4338,49,Low,Female,186,148398,2018/3/2 12:24:28
5046,24,High,Female,346,165201,2018/3/2 12:24:28
5273,40,High,Female,1115,272240,2018/3/2 12:24:28
5489,21,High,Male,64,38771,2018/3/2 12:24:28
6473,44,High,Male,379,171424,2018/3/2 12:24:28
7476,35,High,Female,92,26999,2018/3/2 12:24:28
7846,36,High,Male,276,112074,2018/3/2 12:24:28
8282,34,High,Male,630,241360,2018/3/2 12:24:28
8844,47,High,Male,138,47496,2018/3/2 12:24:28
9603,27,High,Female,216,200802,2018/3/2 12:24:28
1138,46,High,Male,953,185041,2018/3/3 12:24:28
1382,59,High,Female,819,226922,2018/3/3 12:24:28
3285,23,High,Female,299,227594,2018/3/3 12:24:28
5114,29,High,Male,1107,207064,2018/3/3 12:24:28
6520,33,High,Male,77,40444,2018/3/3 12:24:28
6932,32,High,Male,374,213887,2018/3/3 12:24:28
7495,51,High,Male,362,196501,2018/3/3 12:24:28
8718,58,High,Female,198,163113,2018/3/3 12:24:28
8907,39,Normal,Male,284,67136,2018/3/3 12:24:28
694,31,High,Female,1602,243605,2018/3/4 12:24:28
1490,64,High,Male,213,179436,2018/3/4 12:24:28
1782,32,High,Male,176,35595,2018/3/4 12:24:28
3251,45,High,Female,517,183168,2018/3/4 12:24:28
3303,26,High,Male,754,179633,2018/3/4 12:24:28
3715,41,High,Male,259,119721,2018/3/4 12:24:28
5629,69,High,Female,168,159191,2018/3/4 12:24:28
7994,44,High,Female,61,26669,2018/3/4 12:24:28
9068,53,High,Male,1066,123703,2018/3/4 12:24:28
1445,25,High,Male,615,221757,2018/3/5 12:24:28
2042,19,High,Male,711,354104,2018/3/5 12:24:28
3747,33,High,Male,177,131568,2018/3/5 12:24:28
3930,59,High,Male,169,117751,2018/3/5 12:24:28
3941,55,Low,Male,116,106707,2018/3/5 12:24:28
4849,20,High,Male,306,194630,2018/3/5 12:24:28
4983,20,High,Male,170,24008,2018/3/5 12:24:28
6240,51,High,Male,510,337195,2018/3/5 12:24:28
8989,36,High,Male,209,185360,2018/3/5 12:24:28
686,20,High,Male,3045,316702,2018/3/6 12:24:28
3807,29,High,Female,71,57596,2018/3/6 12:24:28
4903,40,High,Male,183,168538,2018/3/6 12:24:28
5785,18,High,Male,72,50879,2018/3/6 12:24:28
6143,40,High,Male,866,146520,2018/3/6 12:24:28
7202,42,High,Female,467,104663,2018/3/6 12:24:28
7511,39,High,Male,812,178815,2018/3/6 12:24:28
7695,25,High,Female,530,218948,2018/3/6 12:24:28
8740,32,High,Male,1633,459007,2018/3/6 12:24:28
9291,39,Low,Female,1277,358837,2018/3/6 12:24:28
9584,64,High,Female,450,202738,2018/3/6 12:24:28
9730,17,High,Male,176,143034,2018/3/6 12:24:28
839,40,High,Female,63,33274,2018/3/7 12:24:28
1783,28,Low,Male,3229,429507,2018/3/7 12:24:28
3065,48,High,Male,431,193188,2018/3/7 12:24:28
5655,47,High,Male,370,55272,2018/3/7 12:24:28
7008,46,High,Female,264,169042,2018/3/7 12:24:28
7879,26,High,Male,240,212304,2018/3/7 12:24:28
8332,20,Low,Female,271,216436,2018/3/7 12:24:28
9786,52,High,Female,184,128871,2018/3/7 12:24:28
804,22,Low,Male,401,219941,2018/3/8 12:24:28
4366,60,High,Male,182,181953,2018/3/8 12:24:28
5936,20,High,Male,537,293091,2018/3/8 12:24:28
6163,36,Low,Female,3364,383518,2018/3/8 12:24:28
6217,53,High,Male,347,320510,2018/3/8 12:24:28
7602,37,High,Male,215,152909,2018/3/8 12:24:28
8077,31,High,Male,69,58624,2018/3/8 12:24:28
1768,29,High,Male,233,183523,2018/3/9 12:24:28
4583,45,High,Female,213,168837,2018/3/9 12:24:28
5400,45,High,Female,453,275517,2018/3/9 12:24:28
8347,26,High,Female,592,162872,2018/3/9 12:24:28
8956,28,Low,Female,41,37933,2018/3/9 12:24:28
912,23,High,Male,314,257509,2018/3/10 12:24:28
929,41,High,Male,199,132222,2018/3/10 12:24:28
1909,27,High,Female,604,278581,2018/3/10 12:24:28
4026,36,Normal,Female,397,288585,2018/3/10 12:24:28
4996,48,High,Male,596,121124,2018/3/10 12:24:28
5566,36,High,Female,891,749105,2018/3/10 12:24:28
7263,40,High,Female,259,220589,2018/3/10 12:24:28
7802,52,High,Male,284,127749,2018/3/10 12:24:28
7817,30,High,Female,149,140869,2018/3/10 12:24:28
8173,39,High,Female,1375,238008,2018/3/10 12:24:28
8234,64,High,Male,311,237379,2018/3/10 12:24:28
9119,58,High,Female,1444,473836,2018/3/10 12:24:28
9648,36,Other,Male,173,160120,2018/3/10 12:24:28
34,22,Low,Male,988,311512,2018/3/11 12:24:28
219,31,High,Male,242,197860,2018/3/11 12:24:28
2986,28,High,Male,467,132686,2018/3/11 12:24:28
3754,47,High,Male,145,140664,2018/3/11 12:24:28
6096,55,High,Male,548,183884,2018/3/11 12:24:28
6259,43,High,Male,115,64112,2018/3/11 12:24:28
8386,21,High,Male,322,149224,2018/3/11 12:24:28
8495,41,High,Male,306,209547,2018/3/11 12:24:28
8589,61,High,Female,342,192237,2018/3/11 12:24:28
