产品SKU,产品浏览量,产品加入购物车次数
3058,2511,274
908,1044,411
2532,1667,321
899,2669,384
889,1969,397
886,3176,266
919,1267,344
937,1896,274
895,1043,290
936,1400,220
907,1364,388
962,2413,270
888,1957,237
902,1792,255
914,1057,369
922,1452,202
893,1581,305
1219,1157,291
3059,2674,198
1403,4692,377
997,1900,221
890,1501,261
984,1395,201
897,3496,335
1003,1925,184
894,1350,232
927,1422,278
982,811,213
942,1383,243
1520,1410,300
909,2184,244
973,970,247
891,1216,289
920,1123,286
944,1241,311
511,1718,186
3188,1471,200
959,1730,165
904,1878,197
932,2255,264
955,1591,188
934,1226,272
925,1527,161
917,1086,170
1017,1743,304
903,1363,220
969,1492,208
1008,825,207
943,1011,193
285,2043,174
2103,1354,217
933,996,218
994,1645,157
865,838,209
957,808,249
992,1322,246
977,1052,193
2533,938,272
120,1896,245
958,1458,215
939,1242,270
2091,1976,256
896,1131,185
970,1818,268
951,1304,252
930,1942,188
956,2320,190
988,978,222
916,1104,179
1024,1168,248
438,1137,222
928,1348,143
1020,1114,220
980,665,178
966,871,188
978,1254,225
1695,2992,217
415,1207,213
949,784,146
946,1457,209
3186,1182,235
871,1846,155
953,789,168
945,865,193
964,497,133
2923,695,166
2104,640,217
1002,487,233
700,5314,206
967,1195,191
948,1097,140
941,1118,234
1011,668,189
947,798,207
660,1429,119
783,1173,160
1013,1614,133
693,676,146
996,1202,155
963,1028,208
983,886,169
671,897,193
940,941,216
2100,821,136
1000,1282,163
1001,1479,167
1010,1626,188
717,1312,220
698,904,182
1026,972,136
682,847,207
2739,1166,202
991,1238,133
1006,1469,186
713,1005,173
709,706,190
995,1096,116
3189,528,173
1015,478,179
692,2054,176
976,825,178
981,695,127
985,855,101
971,634,130
666,842,141
505,943,190
3185,1028,115
1012,1686,156
998,834,110
795,1206,156
3056,589,135
474,1655,109
691,2645,131
3187,641,157
2081,1039,146
1730,14,1
98,61,1
2535,9,1
2460,4,1
1495,12,1
1496,28,1
1890,43,1
2925,7,1
1034,17,1
2109,19,1
3034,9,1
2373,26,1
619,53,1
3274,3,1
2701,33,1
1502,151,1
2110,7,1
1041,10,1
1042,5,1
2375,18,1
1957,36,1
100,16,1
2541,35,1
2702,23,1
1736,158,1
2933,11,1
1506,9,1
2119,1,1
2120,3,1
1962,100,1
3275,15,1
2773,12,1
2746,12,1
3276,3,1
103,1,1
2462,480,1
1059,13,1
3277,5,1
596,1,1
3086,6,1
3278,11,1
1511,22,1
234,18,1
3279,3,1
2937,16,1
2781,7,1
3087,19,1
1966,55,1
1514,12,1
106,232,1
2379,18,1
1515,19,1
1743,26,1
2705,11,1
1071,36,1
3256,12,1
1745,23,1
3280,14,1
3281,4,1
2783,7,1
1074,8,1
790,11,1
2381,8,1
1519,13,1
2134,132,1
2553,13,1
1078,29,1
1898,26,1
2787,35,1
1521,19,1
2922,14,1
1970,13,1
1522,39,1
2138,6,1
3282,1,1
2139,5,1
1525,33,1
110,11,1
3092,5,1
2557,21,1
1527,38,1
2789,21,1
2143,8,1
2558,10,1
1755,47,1
3201,4,1
1103,3,1
1105,1,1
1757,4,1
1534,30,1
1109,32,1
1110,3,1
3094,9,1
1899,16,1
1761,49,1
2152,9,1
3239,3,1
1116,15,1
3283,144,1
2942,15,1
2154,12,1
2943,1,1
320,3,1
3096,10,1
3284,4,1
2945,1,1
3285,3,1
3286,1,1
3287,2,1
2390,28,1
2161,42,1
3288,3,1
1547,13,1
1122,18,1
1123,7,1
2572,132,1
1771,37,1
2392,13,1
2487,25,1
1907,35,1
1979,10,1
2953,19,1
1130,11,1
3289,45,1
1773,11,1
1774,33,1
2955,10,1
2797,27,1
3290,22,1
1133,16,1
2172,5,1
2751,8,1
1984,121,1
1776,41,1
3102,17,1
2959,3,1
2177,16,1
3291,8,1
2399,8,1
1986,14,1
1571,21,1
3149,7,1
1146,7,1
2580,16,1
1991,34,1
2582,41,1
1148,32,1
577,51,1
2586,172,1
2182,13,1
565,9,1
1993,32,1
1783,37,1
2589,10,1
1784,28,1
2183,5,1
2184,4,1
2467,25,1
1158,126,1
1577,31,1
1788,34,1
3292,17,1
2187,52,1
3293,5,1
1578,6,1
1579,47,1
66,130,1
3294,10,1
2402,2,1
1167,8,1
1581,21,1
1170,17,1
1583,75,1
2595,9,1
1584,17,1
2406,34,1
749,1,1
1790,50,1
2002,16,1
1587,13,1
1588,49,1
2068,3,1
2196,3,1
1178,47,1
3111,5,1
1184,18,1
1592,2,1
1185,25,1
2804,19,1
1189,36,1
2205,2,1
1190,48,1
2008,36,1
3295,8,1
1194,15,1
2713,20,1
2208,13,1
2209,11,1
1196,88,1
2210,14,1
281,26,1
1921,42,1
2490,51,1
3296,2,1
1199,38,1
1205,6,1
781,19,1
1207,1,1
1601,9,1
282,13,1
1212,42,1
1602,8,1
2218,0,1
123,20,1
3297,4,1
1606,1,1
3298,2,1
3150,53,1
2503,49,1
950,54,1
462,70,1
2809,3,1
3299,17,1
3300,15,1
2412,35,1
3301,5,1
2810,17,1
1804,31,1
840,24,1
1221,232,1
1224,36,1
2226,7,1
2227,11,1
1225,7,1
2230,1,1
1611,10,1
1226,2,1
3302,1,1
1229,11,1
1230,40,1
2894,17,1
129,36,1
1810,23,1
1235,57,1
2895,7,1
3245,82,1
130,473,1
2822,4,1
1239,149,1
2896,59,1
1818,288,1
1244,26,1
2826,3,1
1245,11,1
841,7,1
1821,39,1
1825,37,1
1927,21,1
1826,101,1
2242,14,1
2977,15,1
3303,14,1
1256,207,1
2244,2,1
3123,21,1
2755,21,1
1828,23,1
1258,8,1
2617,24,1
2247,12,1
1263,6,1
1829,20,1
3304,9,1
1267,26,1
1268,8,1
466,62,1
1273,17,1
3247,4,1
1630,47,1
1277,7,1
3126,14,1
3305,27,1
3306,11,1
2258,152,1
1289,25,1
2722,13,1
1637,26,1
975,28,1
1293,14,1
1294,34,1
1298,59,1
2625,12,1
1642,7,1
2492,46,1
2723,14,1
3307,9,1
1643,21,1
2628,3,1
1300,43,1
1301,13,1
2424,29,1
3249,40,1
1832,9,1
1303,2,1
1305,5,1
2265,8,1
1646,22,1
2900,65,1
842,5,1
1311,21,1
3308,11,1
1313,4,1
2835,7,1
2272,22,1
1651,15,1
3309,15,1
2638,10,1
3310,11,1
1316,7,1
2276,17,1
2277,25,1
3131,31,1
3311,4,1
3312,3,1
3257,74,1
1328,3,1
1659,18,1
2433,17,1
3313,1,1
2843,6,1
1660,16,1
1332,8,1
2435,7,1
1335,32,1
1336,95,1
2990,9,1
3314,11,1
2844,3,1
2845,8,1
3315,1,1
3316,8,1
1338,2,1
1339,6,1
3040,12,1
2731,5,1
3139,8,1
3140,15,1
3251,3,1
1349,45,1
1350,31,1
3317,5,1
2286,4,1
2848,43,1
1355,160,1
1356,19,1
2904,9,1
1357,46,1
2656,3,1
3252,7,1
32,102,1
3318,7,1
2852,12,1
3158,19,1
2073,63,1
1368,27,1
3319,27,1
3320,11,1
3028,13,1
1377,31,1
1674,22,1
1675,15,1
1676,7,1
3321,5,1
36,6,1
3322,4,1
3062,4,1
1681,29,1
2040,5,1
2310,4,1
2041,23,1
1398,25,1
2043,11,1
1684,23,1
2440,62,1
1401,9,1
651,22,1
2047,20,1
1687,55,1
1404,7,1
1405,24,1
1938,51,1
1689,18,1
1407,20,1
2315,11,1
2316,99,1
3323,16,1
2049,29,1
1691,7,1
2859,6,1
3324,3,1
1692,33,1
1859,19,1
1860,47,1
1415,13,1
1416,27,1
2323,42,1
2668,20,1
1419,35,1
3159,19,1
2917,47,1
1424,20,1
1426,45,1
3010,4,1
2671,44,1
2672,32,1
3067,9,1
3031,17,1
2330,68,1
3181,35,1
3032,29,1
2675,7,1
2740,28,1
1696,45,1
2331,27,1
1865,24,1
3325,1,1
1866,167,1
3326,1,1
3327,3,1
1433,12,1
3328,1,1
2741,9,1
2052,35,1
1871,44,1
2875,1,1
2447,5,1
1440,5,1
3329,3,1
3330,2,1
1709,16,1
3038,7,1
3045,45,1
255,1,1
1714,10,1
1448,7,1
1877,22,1
1717,26,1
3013,15,1
1878,103,1
1718,18,1
2880,2,1
3331,19,1
3332,17,1
3333,27,1
3334,11,1
2355,5,1
2690,7,1
3014,0,1
1465,18,1
1471,6,1
3236,4,1
1473,3,1
3017,4,1
3335,1,1
592,19,1
3336,2,1
2455,1,1
1948,12,1
1479,23,1
1480,7,1
3337,1,1
1485,73,1
3076,6,1
1488,74,1
1489,17,1
1493,38,3
1950,23,2
2107,12,3
1032,25,2
2929,6,3
1038,90,3
1733,175,3
2374,35,3
1040,49,3
52,12,2
1047,38,3
2745,14,2
1739,94,2
3338,88,3
2546,87,2
2775,266,3
1964,304,2
1066,43,2
2550,28,2
2129,13,2
1965,25,3
1744,35,2
107,25,2
1967,31,3
1749,269,3
1750,19,2
1079,17,3
1968,11,2
163,73,2
3199,10,2
475,54,2
2386,14,3
2140,29,3
1092,33,3
1528,18,3
1530,76,2
1531,13,3
2563,37,2
2149,19,2
1976,30,2
3339,5,2
1977,40,3
1118,19,2
2391,5,2
2888,6,3
3340,5,3
1548,15,3
1768,36,3
2921,24,2
2951,8,2
1557,181,3
1980,102,3
1981,127,2
2889,13,2
1561,21,2
1563,132,3
1777,44,2
2175,60,2
1779,66,2
3205,19,3
2488,7,2
1566,91,3
1568,29,2
1569,18,3
1572,43,3
3341,7,3
1151,18,3
1152,24,3
1994,89,2
1998,35,2
461,13,3
1999,15,3
1573,47,3
1157,24,2
2592,9,2
1166,28,3
2404,196,3
938,36,2
1791,56,2
1589,14,3
1188,21,2
1192,30,2
2409,33,3
2489,30,2
1598,43,2
1197,15,2
203,50,2
1599,20,3
1201,51,2
2754,15,3
1208,307,2
2215,18,2
1210,41,3
122,56,2
1801,33,3
3342,6,3
3151,60,2
338,69,2
972,49,3
1608,300,3
3343,32,3
1223,13,2
437,79,2
2017,26,2
2413,19,3
2018,41,2
1233,60,3
1236,55,3
3344,23,2
1815,97,2
1925,66,2
1617,37,3
1618,32,3
1816,36,2
2612,194,3
1621,36,3
1622,48,3
1820,41,2
2238,23,3
1823,25,3
2024,37,2
1255,175,2
1259,98,2
2619,22,2
1625,15,3
1269,32,3
133,19,2
3345,9,3
2254,5,3
3346,4,2
1631,25,2
1632,13,2
1279,12,3
1633,44,2
635,81,3
2421,34,3
1296,27,2
2505,54,3
2260,72,3
2262,54,2
2630,143,2
1650,18,3
3347,22,3
3348,10,2
2426,20,3
2275,59,2
1656,60,2
1321,53,2
3167,25,3
1322,49,2
2278,48,3
3219,11,3
2730,19,3
2842,4,2
3349,14,2
1326,7,3
1840,11,2
1331,25,3
2901,20,3
138,74,2
30,28,3
2089,39,2
2997,17,2
2507,32,3
1662,97,3
2289,7,2
2290,57,2
3350,16,2
84,84,3
2531,22,2
1358,42,2
2850,20,3
1361,124,2
2296,34,3
291,180,3
2298,125,3
1666,65,2
1373,22,2
1668,11,3
1378,38,3
2037,113,2
1935,37,2
1384,34,2
1678,60,3
404,159,2
1392,14,3
2042,36,3
1685,19,3
1855,20,3
1936,42,3
1408,13,2
2441,24,3
88,27,3
1410,50,3
2319,47,3
2667,16,3
2494,122,2
1422,43,2
2674,18,2
788,91,3
3351,43,2
3044,10,3
2861,42,2
1435,39,3
2335,17,2
2338,16,3
2341,4,2
3352,57,2
2053,103,3
1872,27,3
1439,133,2
1442,20,2
2479,21,3
2055,96,3
1711,48,2
1947,23,3
153,13,3
1446,11,3
3353,19,3
1876,13,3
2758,4,2
1451,36,3
2062,41,3
1468,62,3
2360,4,2
3073,13,3
3354,6,3
1490,233,3
1494,19,4
2106,22,4
1953,36,5
2111,37,5
1044,32,4
1503,63,4
1958,27,5
3355,20,4
411,19,5
5,214,3
2547,22,5
451,133,4
263,200,3
105,33,5
2549,61,5
1742,21,3
1896,64,4
1897,131,4
1524,46,3
2144,18,5
2486,78,3
1098,8,4
1099,39,3
1973,73,4
1974,36,5
2561,5,3
1106,20,3
1108,24,4
1759,72,3
1760,121,4
1536,38,3
1542,67,4
1543,30,3
1544,118,5
1901,27,4
3240,28,3
1978,46,3
2708,36,5
114,83,3
1126,53,3
10,87,4
116,11,5
1983,9,4
62,139,5
63,53,3
3163,216,5
1985,28,5
1140,47,5
1142,25,4
1570,59,3
1989,16,3
3174,14,4
2762,22,4
3207,13,4
3356,51,4
3357,21,4
2400,9,3
3106,15,3
1787,47,5
1159,12,5
393,67,5
2001,51,3
14,27,4
1173,34,5
1590,28,4
1187,119,5
1795,51,4
3165,87,4
1797,15,5
2914,50,3
2603,37,4
1216,11,3
1220,54,5
1609,87,3
1222,32,5
1808,18,4
72,71,5
2716,44,3
1612,58,5
170,65,3
3023,9,3
1615,78,3
1924,61,5
2020,65,3
2821,19,4
1817,365,5
2237,39,5
2613,26,5
1246,62,4
2418,111,4
2241,38,3
1827,150,4
3358,3,4
2419,24,3
2721,30,3
2027,39,3
1641,41,5
1930,87,4
3359,20,4
3360,39,3
2030,44,3
1654,74,4
2280,38,5
3361,27,3
1838,31,3
1839,33,5
2506,88,5
440,31,3
1844,38,3
2653,766,5
246,78,3
2655,108,4
1360,35,4
2295,8,4
1376,73,3
2306,49,5
2475,84,4
1857,53,3
2737,33,4
1861,50,5
2327,59,4
2445,40,4
2083,59,4
2919,34,4
3228,18,4
1699,38,4
2050,39,4
1707,80,5
1946,87,4
1874,34,5
2061,9,4
158,58,5
1882,26,4
1474,149,5
2457,12,3
1031,49,7
2884,287,5
1,99,6
1035,72,9
1036,40,6
1952,159,8
2538,116,7
2376,83,6
101,117,9
1508,140,7
2784,19,7
608,72,9
2748,62,6
388,29,7
1095,33,9
1982,99,7
2168,41,6
1908,311,6
1567,253,5
198,91,5
2590,52,9
1160,47,6
1915,40,7
2004,27,9
1198,43,7
1796,33,8
2214,12,5
2808,95,9
127,83,7
2021,34,9
172,91,5
132,46,6
3175,53,8
556,84,5
3246,29,7
3024,181,6
1270,47,6
2026,45,6
134,107,7
1285,90,6
1306,76,8
803,208,5
2765,41,5
3157,270,9
843,243,6
721,164,6
1845,75,6
2651,32,5
3000,48,5
1933,81,6
3253,208,7
1848,19,5
1680,109,6
2508,73,8
1411,339,5
1939,560,5
298,627,6
348,54,7
1943,98,5
148,59,9
90,57,9
1870,13,6
42,124,8
43,20,9
1712,17,6
155,39,9
2511,30,6
46,23,5
92,12,9
1715,19,7
1450,27,7
2063,94,8
95,34,9
1885,86,8
1731,45,7
1492,79,4
583,51,4
814,50,5
2916,40,7
3,40,6
99,41,7
1048,51,5
2542,10,5
3362,9,5
232,64,7
452,121,6
1741,133,6
109,45,4
734,244,5
1971,87,5
2388,114,5
1540,40,6
270,52,4
1549,48,6
1903,24,7
1767,70,6
1904,872,4
1770,60,5
1552,247,5
1906,70,7
196,62,5
11,53,4
2892,43,4
1912,78,6
1995,121,6
1997,67,4
13,153,7
1168,40,5
1179,22,4
1209,19,4
2714,78,4
2607,53,5
205,90,7
1805,141,4
1231,290,7
2019,276,6
2818,885,6
1240,79,7
2234,143,6
1241,97,6
24,220,5
1248,29,6
465,114,6
1253,30,6
75,131,5
2718,29,4
287,100,5
76,86,7
2025,82,6
1278,61,5
1292,47,7
1295,27,7
1297,791,6
2028,66,5
1929,77,5
808,37,6
2264,41,6
2425,68,5
136,56,5
2837,55,7
79,68,5
2071,78,6
80,101,7
439,49,5
1842,20,7
2763,41,7
3136,30,6
2996,104,4
1346,89,4
685,75,7
1846,169,5
2733,56,7
2473,144,5
1934,49,4
2034,100,4
1672,943,6
1379,58,4
1381,13,5
213,77,7
1852,189,6
3224,47,4
2039,42,5
910,90,4
1693,167,4
1420,83,5
1942,48,7
216,169,4
2446,40,4
2332,36,6
149,78,7
1704,59,7
1944,30,7
1708,66,7
2058,21,4
45,11,4
1447,15,6
1449,31,6
1886,70,7
2066,86,4
1727,64,6
