产品SKU,产品浏览量,产品加入购物车次数
412,202,13
310,197,17
2084,117,10
10,129,17
391,284,15
373,276,10
118,422,18
3356,238,10
3107,114,11
3151,105,12
206,194,17
1805,207,18
437,97,10
623,266,16
375,180,14
3708,124,16
2977,157,12
3046,199,11
328,269,10
4115,61,15
136,244,10
2069,84,16
468,104,15
496,227,11
3674,418,19
3445,268,13
3437,408,10
3901,129,14
2039,502,14
472,571,11
3896,164,14
181,75,14
3892,56,16
351,90,15
3050,91,10
2056,111,16
3446,119,13
2057,61,12
1476,176,14
257,181,16
1033,480,11
191,154,15
192,163,11
1764,113,14
457,91,16
166,168,12
1132,290,10
335,237,12
1785,164,17
1913,226,17
325,606,17
1209,465,12
337,59,16
69,180,10
73,136,13
464,91,14
1240,106,17
207,133,11
438,234,13
396,153,9
77,213,16
421,124,17
28,123,14
3931,277,12
1654,209,12
2517,105,15
289,134,13
4135,106,14
143,187,15
2294,182,17
291,512,15
33,446,9
345,76,13
293,105,16
405,582,16
756,219,13
824,227,9
473,145,16
4083,216,11
349,79,13
443,142,9
430,84,10
3443,172,9
221,43,10
3780,19,13
2689,103,9
93,138,9
2131,508,34
2709,367,42
3295,583,25
2473,317,22
552,209,33
156,105,39
576,161,37
3357,347,21
645,153,35
1823,310,28
532,468,28
362,171,21
4113,203,41
558,334,26
2088,236,40
721,330,25
3366,133,23
179,230,25
299,280,35
3182,137,30
3268,140,27
315,119,26
617,122,33
385,82,34
594,94,21
355,173,27
3995,179,22
514,281,34
2098,171,37
4127,573,26
644,498,24
4136,325,29
342,296,21
4062,126,21
4137,155,21
581,820,37
543,123,37
3448,145,36
3449,220,25
563,139,24
1743,333,22
832,159,37
1916,643,29
600,206,28
3660,239,26
2032,475,29
212,685,29
3972,132,34
224,122,34
632,71,23
456,185,18
643,119,27
3364,159,32
3967,204,25
2248,188,30
588,158,19
568,207,29
467,116,34
3833,173,22
3405,333,24
4020,180,21
4138,91,19
177,111,27
2443,1017,25
1868,185,27
616,106,25
817,103,22
3433,150,25
4065,69,21
4042,45,32
316,168,26
574,348,26
640,161,21
2140,369,25
3447,319,29
564,216,25
459,292,28
621,458,24
3838,243,31
3114,1078,33
17,831,30
359,346,19
376,177,21
360,55,24
541,230,33
3864,297,21
424,97,21
2526,122,27
3636,361,32
603,318,24
627,142,29
628,139,26
571,185,30
629,110,29
826,258,33
4092,50,25
4084,40,19
352,71,23
510,190,21
610,135,26
1111,270,23
515,120,17
417,196,28
516,301,17
418,146,16
4096,219,23
567,205,20
3934,920,20
3993,198,20
245,346,19
3531,615,20
2850,193,24
653,61,18
384,155,22
3971,162,16
303,63,22
304,86,31
188,95,20
101,237,18
54,746,21
597,610,24
633,228,21
372,109,22
193,193,27
61,120,24
321,196,29
235,152,23
528,216,20
759,0,17
4018,157,29
549,291,27
557,240,20
3519,274,26
329,136,18
378,189,21
1862,448,25
382,150,26
2051,196,17
331,258,22
184,79,16
2095,116,22
811,199,26
4060,68,16
307,199,17
450,128,17
262,188,16
2764,335,14
1066,414,15
512,197,22
2142,232,16
356,613,20
2154,168,20
477,189,21
3786,50,19
324,288,25
2406,232,25
339,217,26
3166,248,23
647,334,14
422,99,18
174,261,24
379,239,18
380,171,24
2518,129,19
4057,157,26
2531,160,18
152,87,16
3262,227,14
4139,100,23
3817,105,14
225,333,24
657,58,16
793,1426,49
486,463,56
587,342,48
3976,219,57
551,312,44
816,199,54
561,247,50
757,598,64
775,316,70
487,817,69
3902,423,71
704,1049,70
503,495,62
504,476,69
2892,1477,67
579,369,40
743,395,72
3785,97,53
686,531,66
602,470,49
365,246,73
779,389,40
825,336,56
690,365,61
524,1953,67
3180,154,65
1269,326,69
4064,521,42
702,278,59
3712,297,69
725,349,46
3789,207,60
474,661,54
614,453,42
569,549,48
678,904,36
706,231,50
1958,968,56
1915,430,37
3185,503,60
830,295,47
3903,491,35
2086,86,43
2192,223,49
738,260,39
701,437,62
762,295,51
589,510,56
590,425,47
654,154,63
1154,763,43
3373,737,53
3053,670,56
3263,871,60
550,234,43
344,271,47
959,228,31
823,323,34
718,645,60
638,326,39
476,385,50
754,575,34
834,294,49
836,572,51
3714,424,45
3453,235,35
482,246,49
1590,404,32
764,517,35
613,614,34
1326,563,53
497,462,47
3178,218,44
3369,199,34
479,157,50
3634,574,56
595,98,36
522,271,34
493,469,51
1268,325,49
3184,246,40
3836,172,41
787,968,29
729,697,48
805,387,29
333,195,46
2381,295,49
4067,310,33
766,316,39
540,251,43
533,197,34
559,342,40
3709,281,46
655,127,31
800,162,39
3266,209,28
509,221,44
769,234,46
794,552,38
491,350,31
784,511,47
782,473,35
340,250,30
636,1234,50
637,653,47
314,137,48
3183,217,49
631,112,40
387,298,31
4017,506,46
3970,267,36
554,151,35
521,175,31
492,209,48
330,293,32
427,245,34
519,274,26
3227,898,35
520,1065,39
219,168,41
553,85,37
829,315,41
530,232,46
2279,638,46
1356,262,42
810,281,35
671,706,45
3441,88,47
498,137,25
4061,315,29
604,364,27
620,351,40
539,229,33
758,226,28
1619,7,26
714,674,32
507,106,44
3439,277,36
312,443,42
2302,871,31
3267,155,44
544,237,32
1087,789,119
1024,584,137
771,617,131
1001,1235,164
998,605,131
2529,1089,129
2465,993,144
697,948,115
3188,1004,145
994,751,115
992,899,148
1027,1077,93
435,638,170
996,621,103
906,733,130
666,560,92
963,1024,107
943,893,132
747,1153,157
1013,780,87
846,341,145
3788,607,113
1007,723,162
3996,587,122
688,736,130
3645,917,98
2739,723,106
982,739,107
861,1384,89
999,960,113
797,826,123
682,703,88
3644,1255,117
591,854,91
673,695,147
3042,2955,129
940,845,95
1301,1032,100
904,1127,94
1011,573,83
932,556,154
983,1128,149
3273,796,129
3790,685,85
4045,873,80
720,346,143
751,493,151
693,580,141
3975,575,128
1008,873,133
993,574,152
873,524,147
658,283,142
3716,847,136
981,723,81
677,620,131
755,884,89
966,812,81
1018,426,85
2100,606,89
741,1259,115
791,708,133
572,969,107
750,575,115
761,1014,124
995,742,111
719,826,99
508,966,117
978,710,82
724,763,93
991,867,138
989,484,95
946,845,124
3842,826,87
799,764,96
821,1121,102
986,649,76
684,591,70
480,484,122
1719,1021,82
732,670,103
957,437,68
3451,1393,121
3452,1242,125
3974,598,118
1536,599,97
4105,771,116
665,348,125
672,545,83
670,857,101
733,505,74
1028,508,113
483,1013,98
1012,1701,76
786,791,82
845,526,95
4021,585,67
1010,1020,98
804,963,103
1015,427,66
499,1073,59
1565,1001,76
3713,951,58
3382,1716,66
708,291,73
723,349,111
432,607,70
676,441,72
770,432,56
681,446,108
2528,387,67
801,749,59
818,319,98
1136,376,57
3905,588,85
88,678,97
1864,641,72
4039,720,96
3051,710,101
4066,484,105
717,719,74
586,545,67
3719,847,57
3261,453,65
526,676,56
707,568,84
3904,573,71
3109,414,100
4140,497,64
683,580,68
4068,333,88
689,446,71
662,541,66
713,373,63
798,570,76
1025,759,82
500,572,67
1965,581,83
3906,816,64
698,575,56
730,265,59
796,319,93
722,340,66
1016,912,83
1710,456,50
267,605,54
815,837,73
2525,225,85
948,425,51
667,724,57
777,211,59
675,266,60
726,728,89
3056,494,87
3718,741,56
3023,449,45
2999,534,46
812,325,69
490,396,70
679,412,85
2093,774,67
820,440,87
506,451,79
2530,320,69
664,223,82
753,187,68
3436,397,77
518,720,64
844,507,67
661,491,55
716,853,62
4085,255,60
806,389,52
2922,434,69
857,544,69
4111,711,79
1004,542,68
3641,516,45
780,276,81
990,610,73
3060,417,42
4022,15967,736
851,2773,650
277,3608,1056
862,3385,838
911,3769,580
3998,3103,520
870,2964,695
858,2900,788
850,1939,494
868,4468,372
828,4846,420
852,3199,634
3057,2420,414
853,2638,624
1941,2371,355
2410,3444,391
872,3902,567
3977,2766,361
901,2551,539
855,3143,432
1019,3772,466
864,2614,364
863,1925,495
1949,1404,442
348,1389,382
2708,1926,362
3997,1963,354
3372,1414,413
2101,2269,327
866,2062,359
878,1836,330
3978,2620,264
883,1710,488
877,1752,436
875,2337,404
2102,960,363
1022,1412,245
854,1289,440
1160,2054,458
856,4121,438
879,2005,284
548,2160,280
1636,2034,399
887,1407,218
1252,1261,229
1649,1020,282
511,1686,350
871,1622,262
919,1309,304
865,2595,212
886,1829,316
936,1150,381
848,1980,262
882,1274,313
893,2179,278
888,1716,370
4044,2053,363
1014,1643,263
3643,1211,340
895,1095,345
928,1432,217
896,1294,237
859,1292,198
889,1031,229
884,1204,281
876,1854,236
952,1676,248
789,1351,208
892,1322,178
897,1567,299
3907,1076,302
1219,1029,308
2010,1002,231
869,1456,219
3840,1558,201
874,1869,211
941,2075,282
867,1726,244
709,1286,288
2222,1636,187
3841,972,196
908,1787,217
891,1382,226
880,738,291
899,1606,236
914,1072,217
907,1730,237
894,1152,228
984,1051,194
912,1441,157
3187,1060,202
988,1238,227
931,1225,152
3189,986,270
898,988,163
937,934,242
669,1466,198
881,2353,210
1003,1238,168
951,2158,203
944,1332,146
954,659,214
2091,1643,144
971,1184,226
973,691,193
905,1387,225
2049,704,190
969,1031,212
1017,1234,248
663,771,166
660,634,223
976,553,203
942,956,176
923,711,171
924,863,161
935,653,144
2237,1823,226
3271,1792,156
890,807,178
997,1064,136
967,996,176
2103,1109,149
1889,1353,149
920,820,230
922,879,161
674,977,222
1695,2451,118
1002,765,114
977,663,197
3952,975,129
934,679,158
3720,626,166
927,985,183
909,1022,134
987,1132,169
947,746,212
902,910,199
2104,964,203
1006,1861,143
783,840,135
955,1315,121
445,906,142
916,689,157
2923,487,181
949,828,179
903,1624,183
1214,792,193
953,600,150
965,955,165
685,830,132
2738,1112,123
814,677,126
1097,631,190
980,783,155
1520,745,178
939,981,174
970,893,132
958,783,184
1026,513,134
3908,1402,120
975,690,111
776,630,151
1000,1177,103
98,66,3
1950,79,2
1953,77,2
1954,97,2
2374,40,2
1005,73,3
1502,31,3
1044,104,3
1503,15,3
2118,8,2
1509,15,2
3795,13,3
1963,26,3
3536,27,2
3278,56,2
1062,26,3
2549,106,2
1513,42,3
1744,30,2
1898,21,3
608,10,3
1083,38,2
389,102,2
57,48,2
1527,41,3
1972,18,2
1754,9,3
2144,1,2
2387,20,3
3147,2,2
4070,42,2
2151,74,3
1761,43,2
1976,14,2
1977,39,2
3835,26,3
1902,128,2
3846,20,2
3594,44,2
2888,16,2
1903,19,2
1124,18,2
913,6,2
1557,191,3
1980,42,3
2168,37,2
1774,27,3
1562,4,3
1984,92,2
1910,52,2
2175,36,2
63,69,2
1569,20,3
1140,39,3
2582,17,2
2800,242,3
565,17,3
1995,68,2
3715,29,3
1158,20,2
2187,23,3
66,20,3
3899,9,3
1582,71,3
120,71,3
1587,6,2
1180,38,2
202,8,2
4141,24,2
1191,48,2
1596,21,2
1920,129,3
2209,25,2
1196,67,2
203,82,3
2966,46,2
2490,70,3
2212,25,2
1600,35,3
282,61,2
122,46,3
123,17,3
4103,34,3
3776,43,2
3885,18,3
4118,16,3
3549,3,3
3921,31,2
3432,35,2
3300,34,3
840,30,3
4076,6,2
71,55,2
2017,19,3
1231,27,2
129,52,3
1233,47,2
1811,102,3
1812,60,3
2019,466,3
1236,32,3
419,57,2
1924,66,2
1239,106,2
132,32,3
3121,15,2
24,206,2
2612,263,3
1248,15,2
2915,31,3
2418,21,3
3798,18,3
2243,36,2
3739,51,2
773,5,2
1626,42,2
3154,11,2
1271,16,3
1631,27,2
4093,29,3
635,16,2
1637,11,3
1292,15,3
2833,36,3
2260,77,3
1644,30,3
1930,132,2
3801,14,3
2630,13,3
2634,65,3
2425,15,2
4142,7,3
3167,49,3
2729,13,3
80,68,2
3671,19,2
1841,45,2
1329,12,3
2282,62,2
2524,83,2
82,15,2
1343,3,2
31,117,2
1846,227,2
3612,89,2
426,56,2
3811,46,3
4143,10,3
1360,90,3
3869,41,2
3253,226,3
4014,40,3
1669,4,3
3890,43,2
3619,22,3
3029,53,3
1851,52,2
292,163,3
2308,27,3
1679,8,2
3168,17,2
3988,21,3
1401,23,3
2047,11,2
2508,45,3
37,161,2
2441,17,2
3704,19,2
2907,17,3
442,131,3
1939,343,2
4091,37,3
1859,62,3
3813,27,2
1940,63,2
2478,149,3
3502,3,2
1696,31,3
2332,39,3
2678,23,2
1866,167,2
1702,76,2
2339,2,2
2053,112,3
3171,18,3
2479,32,2
1709,18,3
2878,13,2
4144,9,3
3434,17,3
2480,10,3
3705,32,3
4145,8,3
4146,10,2
4147,42,3
4126,28,3
4148,9,2
4116,107,3
2496,31,2
4087,39,2
1466,12,3
831,373,2
2065,130,3
1485,63,3
1886,42,2
50,34,2
1488,95,3
1489,44,2
1728,37,3
2482,35,3
4123,41,3
4149,8,4
656,193,3
2063,58,3
305,53,3
1882,38,3
1726,57,4
1885,125,3
2066,90,4
3076,46,5
96,56,4
960,44,7
2107,44,5
1951,47,6
1952,140,6
260,88,7
230,75,5
100,51,7
102,61,6
3535,214,5
2125,27,6
317,124,7
1068,39,6
106,157,7
1896,58,7
1750,48,5
1080,36,5
3910,66,4
2787,12,4
2759,70,5
3199,91,6
1971,75,7
2145,93,7
1755,63,5
2560,23,4
1532,46,7
3538,95,4
930,37,4
2389,99,7
2750,2,6
3827,129,7
3969,70,7
1906,51,4
272,408,5
2575,39,5
1775,112,6
196,75,7
1568,21,5
1986,36,5
1991,103,7
65,16,4
795,22,4
1579,97,6
1580,20,4
4102,53,4
415,175,6
3839,120,7
1793,28,7
1187,65,4
1188,26,4
1794,61,5
1922,144,5
1212,15,4
2217,222,5
3150,31,4
3834,98,4
1218,114,5
961,29,4
3968,52,4
1814,63,5
2021,78,5
2022,111,5
3175,75,7
556,47,6
1828,74,6
2246,12,7
1830,35,7
1641,40,6
1929,13,5
2423,59,6
3928,52,6
1321,74,4
3561,18,5
1838,22,4
81,54,7
1334,69,6
3697,54,4
83,51,6
4128,30,4
3565,92,6
470,104,5
1933,78,5
4150,65,7
3318,58,6
2295,12,6
1847,57,6
3783,34,6
1671,34,4
34,275,7
35,125,6
1681,89,7
1685,113,6
1403,83,6
366,82,4
249,410,7
1411,660,5
2322,35,4
313,35,4
429,1012,6
2673,45,7
1698,39,4
252,89,5
1700,43,6
3410,73,7
2871,133,4
3440,102,5
3877,78,4
183,114,4
1442,25,6
3526,68,6
91,47,5
3047,120,4
3045,68,5
4151,26,5
2060,19,6
3416,23,6
1449,110,5
4007,31,5
4107,21,4
3757,18,6
159,152,7
256,59,4
1490,238,5
1034,63,5
1497,33,3
2538,49,4
3455,55,4
1732,34,3
1040,42,5
1736,261,4
1508,62,3
1962,41,4
2775,216,5
2123,7,5
2703,135,3
3465,208,5
233,100,5
1511,51,4
55,98,4
1745,59,5
3035,74,5
1897,60,3
1079,39,3
163,51,3
1969,36,5
1081,23,5
3782,17,3
1528,28,4
1973,123,3
4041,56,3
1762,29,4
7,66,5
4071,61,5
1549,55,4
1904,625,5
1768,45,5
3850,12,4
3828,17,4
3651,7,3
1771,79,4
60,29,3
115,212,5
1130,19,3
168,141,3
198,25,4
1150,28,3
1155,34,3
3105,10,4
1997,33,3
4025,26,4
1573,25,5
1787,25,5
393,130,4
4109,67,4
4152,18,4
13,62,5
2403,42,3
1174,30,5
4075,13,5
2005,9,4
1792,47,4
3477,160,5
3391,295,4
3736,17,5
3766,32,3
2214,9,4
2012,44,5
1801,55,5
1220,45,4
2229,86,5
72,58,5
326,36,5
1235,61,3
1613,149,3
2818,39,5
1817,396,5
3925,20,4
4104,11,4
1249,360,5
1820,19,3
1824,33,3
2241,37,5
3246,51,3
1253,27,4
1623,23,5
1259,30,3
3024,190,4
133,54,5
466,65,3
807,58,4
2026,51,4
1629,36,4
3516,304,3
2421,32,3
1294,28,3
1298,145,5
2984,102,3
3401,23,4
2272,223,3
3130,15,4
3521,29,5
137,57,4
2763,16,5
138,29,3
2506,82,3
2903,167,3
3770,479,3
1844,40,5
2507,63,3
441,72,3
2286,38,3
1357,110,3
32,35,5
1363,36,3
1365,119,5
1848,44,4
86,69,5
2475,137,5
3832,61,4
3773,70,4
406,43,4
1692,73,5
147,203,5
89,70,3
2083,24,5
2741,33,5
1944,49,4
151,78,5
254,78,3
2682,30,5
43,10,4
1875,53,4
4054,36,3
155,50,3
4153,29,4
3353,8,3
4154,24,5
2061,11,3
3692,58,4
3756,31,5
1450,17,4
4155,7,3
3585,35,4
1455,57,5
2495,51,4
3233,19,3
1955,69,7
1891,243,7
189,49,9
3255,296,6
449,170,6
1894,64,8
3259,108,11
56,161,11
3893,123,7
113,66,10
114,107,9
2165,36,6
2167,486,8
2795,132,9
1778,92,8
1779,72,8
1567,365,11
1780,46,9
3387,75,8
2182,80,9
2592,55,10
2512,57,6
1197,61,10
1802,67,9
3426,61,9
3581,42,10
462,591,7
3299,58,7
1804,391,10
170,81,10
2895,230,8
1816,116,11
1826,850,6
1255,77,10
1628,38,6
1272,35,10
2025,56,6
4080,46,7
400,83,7
2280,289,11
1932,63,11
243,32,10
2434,230,10
30,74,9
139,141,10
140,58,10
3048,247,9
2523,107,11
4156,60,10
2034,77,11
560,51,9
144,821,8
1676,32,8
428,250,10
297,224,8
407,148,7
180,307,8
148,62,11
149,135,7
2050,65,11
3328,119,11
218,73,10
220,150,8
408,89,8
186,37,10
4094,19,7
3438,52,8
545,324,9
2879,9,9
386,115,6
546,778,10
736,542,7
49,28,6
95,46,8
1727,97,7
97,72,11
187,40,8
1493,43,7
4157,26,6
1892,60,9
4,282,5
1739,50,9
452,231,6
605,71,8
162,166,9
453,108,8
2748,24,9
1752,27,9
268,77,7
1127,218,9
2393,108,7
2076,117,6
1908,78,9
2958,213,6
322,175,7
3163,160,7
1141,49,7
197,245,9
1912,151,7
900,51,6
1182,110,6
4013,53,9
124,152,8
696,6,7
23,122,5
74,152,6
465,69,9
25,172,6
1270,31,5
327,70,8
2422,112,8
2900,143,8
3862,44,9
4029,67,6
4059,59,8
1836,57,7
2072,41,6
2844,120,8
4110,70,7
175,65,8
3139,214,6
1663,111,5
2077,231,7
2292,74,6
4082,33,6
1934,118,9
2300,28,9
2038,112,7
1682,90,9
3891,37,8
216,123,9
1863,357,7
2446,63,7
2330,93,7
1701,60,8
41,91,7
3990,92,5
3049,126,7
368,28,6
153,47,6
4106,18,9
1712,26,8
45,20,5
46,39,7
92,17,6
3946,50,6
3966,38,5
562,1022,5
446,63,6
1474,208,6
1486,157,6
