产品SKU,产品浏览量,产品加入购物车次数
486,322,71
830,402,50
692,718,52
787,586,58
702,224,57
627,143,71
679,676,63
770,393,71
741,352,62
506,243,48
1710,384,66
498,212,54
543,228,66
673,150,66
784,382,55
752,276,62
798,525,60
1314,375,68
365,297,37
812,251,44
730,218,38
500,473,63
826,193,49
3785,126,41
548,213,66
1004,491,46
782,320,50
3640,378,39
659,376,61
490,250,55
637,678,36
804,625,46
2381,439,46
3904,438,39
661,456,59
800,258,42
3266,206,54
3,731,47
3839,467,45
3436,305,40
552,297,35
805,464,44
3714,457,41
706,324,51
3786,360,45
492,265,57
3023,399,53
3859,443,60
2096,226,31
3836,283,31
3366,246,50
769,285,48
604,391,43
701,601,55
3180,221,52
3051,270,36
494,250,40
551,197,33
823,378,34
3178,224,46
590,333,34
753,216,40
554,137,38
521,161,33
613,315,40
614,226,44
289,441,33
497,569,28
822,283,43
723,554,54
729,392,51
561,266,51
668,334,53
2747,597,31
827,367,51
522,464,43
3107,332,35
758,231,31
568,188,30
810,225,46
344,222,32
678,812,50
846,76,44
726,543,46
564,334,39
600,224,26
533,294,45
2509,1718,31
245,380,29
3260,736,48
3636,333,33
508,548,44
3897,189,46
811,198,41
479,123,26
509,243,33
3449,198,43
631,123,33
574,249,49
2392,467,32
2204,727,34
3364,328,27
773,290,29
330,203,40
602,358,43
589,263,39
544,228,42
1110,470,42
3357,322,29
766,230,28
174,288,46
3363,262,35
142,250,26
3905,243,30
3709,164,43
3365,497,41
3183,318,47
510,243,26
793,1709,24
857,318,37
120,273,27
587,226,34
809,302,34
738,310,43
3906,345,31
468,123,23
569,311,27
3712,190,41
3182,170,32
3262,389,28
3368,282,42
503,327,24
576,252,36
515,223,26
1590,411,36
516,333,38
329,101,36
3179,235,31
3264,380,40
2324,664,31
1862,2911,29
520,838,42
582,225,23
3824,1613,140
987,655,154
1020,788,102
942,650,101
964,713,116
747,759,114
720,406,119
3788,619,110
965,598,102
966,998,119
977,951,146
946,1067,174
3842,891,105
685,943,122
1301,487,106
499,649,164
983,1273,89
970,997,86
980,698,114
697,804,155
3186,1506,160
3056,558,103
940,829,84
672,1100,141
943,689,106
3660,771,110
791,726,148
1001,936,118
693,579,115
981,546,146
945,931,98
666,516,84
728,583,109
435,526,82
957,643,86
2100,426,140
821,1272,107
3838,724,150
1000,1681,120
1011,717,80
1013,1431,113
3273,478,142
717,741,76
1027,739,89
2006,1459,107
1018,401,119
3370,753,102
688,426,110
3716,890,103
3272,532,123
958,859,132
665,318,98
3452,1240,102
919,811,77
1136,432,110
682,550,87
949,707,89
1028,678,70
995,790,135
715,1111,135
3052,624,74
963,1219,129
961,1017,116
2532,682,98
978,828,110
998,795,73
677,394,95
3270,398,81
751,263,116
2093,396,74
684,432,109
3907,678,122
1010,781,70
1012,1045,78
2079,443,91
689,462,82
3718,955,78
999,1557,110
3185,797,68
698,591,65
1015,294,119
925,804,118
1695,809,110
3369,439,73
670,798,69
948,345,94
681,404,82
716,788,61
722,411,71
929,847,105
910,780,61
505,492,59
742,331,101
713,753,96
1002,534,60
1016,605,65
3719,504,62
3641,358,101
683,582,105
3189,316,103
708,392,108
771,501,102
676,449,83
996,584,99
664,377,76
638,539,101
3710,1064,87
3060,358,60
799,757,76
54,985,87
3477,914,86
534,331,63
3713,555,70
1014,1502,99
732,560,54
687,339,87
844,533,101
1965,400,57
834,342,78
690,624,83
667,653,81
2004,1499,52
759,437,71
402,419,50
3176,1625,94
2074,2131,84
1978,3327,59
1565,740,61
714,401,93
3642,469,91
707,589,85
818,319,47
671,749,70
3042,796,54
3790,578,83
721,368,87
743,629,59
724,724,50
3227,1198,70
3454,418,51
476,228,76
504,205,87
3715,524,67
779,302,85
825,417,48
704,778,54
662,327,80
796,428,72
489,1557,53
816,238,49
11,464,57
755,732,80
775,339,48
750,228,76
3908,286,55
1929,1196,66
1864,550,72
733,354,49
2533,330,52
820,462,51
3565,1060,66
815,677,47
786,558,73
718,784,81
3453,189,81
2385,9183,1475
2410,4590,524
870,3649,510
852,2612,803
868,2740,594
850,3267,763
901,2298,599
277,2043,635
3057,2987,384
911,2079,521
1941,2193,481
853,3161,495
855,3214,397
863,1762,469
1019,3992,538
856,2287,316
913,1974,539
3372,1336,391
867,2183,260
1006,2242,502
887,1285,320
866,2231,293
875,3152,278
1252,1916,296
877,1906,477
2529,2283,307
1160,1976,371
348,1331,392
1949,1399,347
879,2213,238
876,2136,422
869,1120,385
898,1477,360
883,2022,389
3717,873,279
2102,1473,281
1219,2089,282
3188,1555,379
888,1275,268
884,2387,197
871,1731,338
864,1813,300
3643,931,346
893,1659,313
936,1590,231
874,1752,271
892,1589,339
899,1804,226
916,770,328
895,852,187
861,1757,308
663,1004,246
889,1233,259
903,1042,186
525,1658,241
3373,1080,169
886,2303,262
923,2165,303
881,1556,279
907,1524,286
931,1136,198
905,1489,193
890,774,240
438,1381,222
928,1027,256
880,1056,245
3059,1361,148
2101,1075,229
1022,1940,281
897,1319,286
908,1376,266
2222,2006,279
1889,851,201
971,1177,250
954,654,212
951,2137,209
1520,756,168
3840,2324,232
854,1830,180
1017,1474,222
279,2174,187
969,780,211
3720,713,142
988,1208,155
902,1563,154
3587,1402,138
1513,1515,241
947,757,210
2091,1351,151
997,1302,173
660,520,232
709,728,216
891,1060,149
914,1174,178
3644,990,170
937,1195,162
3271,788,211
3187,1277,150
1003,1203,195
941,1620,210
859,1737,124
994,1326,229
285,2458,239
896,1035,193
669,871,199
953,669,129
935,848,159
944,1192,153
909,1127,208
976,1046,163
2103,799,171
984,794,193
783,888,158
776,927,168
2465,1742,117
922,615,172
674,512,164
3787,639,160
934,752,128
3177,1617,130
920,1068,153
982,780,143
2010,598,115
904,1615,159
415,1179,134
927,919,129
959,888,166
2738,952,109
939,788,199
394,1624,121
2739,869,181
992,821,146
933,1028,141
955,1104,162
3841,688,163
973,988,136
2104,702,141
993,884,173
1026,697,173
1024,624,148
930,1638,169
975,555,140
3645,802,136
986,818,95
2923,469,144
1730,26,1
3078,12,1
1032,9,1
2926,26,1
2108,1,1
1,28,1
1035,26,1
2109,10,1
2928,7,1
3080,10,1
3034,5,1
1953,38,1
1954,90,1
1732,28,1
3456,7,1
2701,18,1
1005,30,1
1502,12,1
1041,43,1
3081,1,1
3909,2,1
2461,61,1
1958,38,1
2542,4,1
3378,15,1
1736,154,1
411,7,1
1053,9,1
1893,137,1
102,29,1
1738,9,1
3795,14,1
3535,1,1
2774,9,1
989,11,1
191,48,1
2547,10,1
1061,4,1
2779,185,1
1063,22,1
1511,60,1
1066,8,1
265,7,1
55,76,1
2781,12,1
586,13,1
106,74,1
746,4,1
3424,7,1
1074,30,1
1077,20,1
1897,31,1
3910,8,1
3911,5,1
2748,31,1
2787,16,1
3647,11,1
3912,13,1
1752,5,1
2386,17,1
2140,7,1
2886,2,1
1754,21,1
1095,24,1
2387,1,1
1528,39,1
1974,13,1
1106,23,1
695,20,1
2150,15,1
1111,17,1
1759,59,1
3538,111,1
111,32,1
1899,12,1
1762,84,1
1976,13,1
1540,24,1
1113,4,1
1115,5,1
1118,3,1
2566,27,1
3835,186,1
3913,4,1
3846,26,1
3762,9,1
1119,24,1
1121,13,1
2160,21,1
2161,40,1
3541,5,1
3914,7,1
3915,59,1
1770,18,1
2921,32,1
3651,3,1
1126,74,1
2952,9,1
2487,14,1
555,2,1
1981,9,1
1772,0,1
1558,92,1
3916,5,1
1773,22,1
2575,53,1
2797,8,1
2751,27,1
2173,98,1
1563,109,1
1776,48,1
1777,30,1
1910,16,1
2175,37,1
1778,21,1
1779,32,1
2395,7,1
2466,8,1
3917,11,1
2396,15,1
2488,15,1
485,10,1
2398,18,1
2177,4,1
1023,19,1
3822,5,1
2962,27,1
3545,29,1
1142,42,1
1988,7,1
3174,5,1
2580,7,1
1991,44,1
2583,2,1
3341,2,1
1783,1,1
1154,17,1
1155,13,1
2184,15,1
1156,9,1
2467,30,1
3106,26,1
1999,10,1
1787,32,1
3108,19,1
1157,25,1
3734,6,1
3918,21,1
3919,3,1
900,87,1
3292,3,1
1161,18,1
2187,7,1
2188,16,1
2190,3,1
1164,19,1
2500,101,1
278,9,1
1579,17,1
3294,3,1
1167,4,1
3899,15,1
1581,6,1
2712,11,1
1169,5,1
2403,18,1
1584,19,1
1172,9,1
1174,21,1
3476,31,1
3920,12,1
1588,34,1
1916,70,1
1589,10,1
3735,1,1
1178,13,1
2408,23,1
3546,7,1
1918,5,1
2007,25,1
1189,23,1
2008,32,1
3736,9,1
2760,13,1
3548,29,1
2409,27,1
1597,5,1
2489,14,1
2713,5,1
2208,7,1
1197,13,1
990,13,1
1921,35,1
2966,8,1
1199,31,1
2212,56,1
1795,31,1
1203,11,1
2754,4,1
3114,37,1
1204,20,1
1205,16,1
1206,3,1
2214,17,1
1797,11,1
2215,15,1
1601,19,1
1212,11,1
121,40,1
1800,53,1
3776,20,1
3895,36,1
3921,30,1
3922,11,1
3432,42,1
3300,10,1
1608,151,1
1220,32,1
70,10,1
3823,19,1
1223,7,1
2225,6,1
2226,5,1
2229,22,1
2230,3,1
1226,2,1
71,63,1
129,31,1
1809,15,1
326,10,1
1233,8,1
3923,2,1
1812,136,1
3767,5,1
1613,211,1
1236,29,1
3245,119,1
3924,11,1
130,218,1
2020,40,1
2820,4,1
2822,3,1
2611,56,1
3480,86,1
2897,10,1
3925,20,1
3738,10,1
2416,12,1
2613,216,1
3926,1,1
1246,33,1
1247,12,1
1249,246,1
2915,47,1
465,167,1
1822,16,1
3798,16,1
2977,4,1
1256,21,1
2243,31,1
2244,27,1
2504,5,1
1258,12,1
1259,19,1
2718,24,1
2617,9,1
3739,47,1
2247,4,1
25,100,1
1624,6,1
1830,32,1
2253,3,1
3857,3,1
3305,30,1
3248,36,1
3482,3,1
3667,5,1
3927,4,1
3517,25,1
1637,4,1
1291,17,1
2259,25,1
1638,15,1
3518,10,1
2491,24,1
1298,68,1
2260,30,1
2982,15,1
3307,3,1
1930,52,1
1302,24,1
2984,10,1
2424,7,1
3860,3,1
2262,4,1
2264,28,1
1309,6,1
3742,11,1
3862,35,1
3928,6,1
3929,4,1
3930,10,1
3931,7,1
3932,4,1
2270,3,1
2271,5,1
3485,26,1
2029,46,1
363,11,1
3933,21,1
3769,20,1
2837,17,1
3130,12,1
1316,5,1
3488,3,1
3745,6,1
423,9,1
1655,5,1
2428,7,1
1656,64,1
79,22,1
2729,24,1
1322,10,1
2278,70,1
3131,20,1
2730,17,1
2842,11,1
3561,11,1
3631,36,1
3609,2,1
1838,24,1
2644,4,1
3257,81,1
2988,8,1
2282,3,1
1660,7,1
3132,2,1
2645,21,1
3314,27,1
2994,34,1
3778,12,1
3934,29,1
3887,30,1
3804,23,1
3698,13,1
3674,26,1
2731,230,1
3675,12,1
3807,6,1
3495,47,1
1844,54,1
3935,10,1
3317,2,1
3612,28,1
3936,6,1
3937,1,1
3567,10,1
3615,5,1
3938,1,1
1360,31,1
32,45,1
777,25,1
3318,7,1
3681,4,1
1361,22,1
2473,41,1
1363,14,1
1847,50,1
1369,25,1
3319,28,1
3320,21,1
3027,19,1
1374,7,1
1668,14,1
2438,3,1
1673,16,1
144,294,1
1851,39,1
1677,39,1
1935,13,1
1384,20,1
1386,7,1
2905,22,1
36,2,1
2039,55,1
1389,27,1
2309,23,1
1392,2,1
1681,17,1
2735,11,1
1396,81,1
1397,3,1
2310,3,1
1398,16,1
2042,35,1
2044,73,1
3773,47,1
2046,32,1
2047,28,1
1405,32,1
1407,11,1
1410,25,1
2906,18,1
1691,21,1
1414,15,1
2325,9,1
1418,28,1
3686,5,1
1420,36,1
216,53,1
3939,3,1
858,56,1
2327,14,1
2328,3,1
3031,9,1
2919,32,1
1428,84,1
2698,15,3
1490,202,3
51,16,2
583,41,3
1951,37,2
1036,14,3
260,78,3
1038,78,2
3793,47,2
2916,67,2
1040,43,2
917,29,3
731,61,2
1735,187,2
2378,12,3
2118,3,2
1055,55,2
2546,43,2
3940,55,2
2497,14,3
878,22,3
3435,209,2
1966,42,3
2380,16,3
1071,35,2
1745,23,2
719,4,3
1078,15,3
1750,19,2
1081,10,3
1521,20,2
3537,74,2
2759,37,2
1085,19,2
3725,126,2
58,38,3
1755,18,3
2561,19,3
609,12,2
1108,17,3
611,115,2
1112,305,2
598,71,2
1539,11,3
3339,14,2
1902,55,3
3941,10,3
3384,2,3
1547,48,3
270,29,2
3650,65,3
1549,38,3
3828,16,3
1907,26,3
1129,259,2
1980,102,3
1774,31,3
117,14,3
3731,8,3
1560,22,2
1775,293,2
1564,9,3
63,55,3
1138,24,3
1143,17,2
3942,23,3
2762,12,2
1993,44,2
1151,11,2
1995,82,2
2752,20,2
2590,17,3
393,74,2
65,195,2
1162,9,2
12,53,3
1165,9,2
66,64,3
3854,5,2
1582,12,2
865,21,3
3884,22,3
2002,10,3
1915,33,3
1180,23,3
1181,21,3
1919,64,3
1187,53,2
1596,19,3
1196,34,2
1200,9,3
1600,37,2
3706,7,2
1209,11,2
282,58,2
1798,27,3
1799,57,3
1801,75,2
1215,9,2
2503,73,3
3886,17,2
462,55,2
3343,11,3
437,63,2
2017,23,2
2894,18,2
170,64,2
1810,20,3
2608,24,2
1811,73,2
2019,279,3
2814,181,3
1615,32,3
1814,108,2
3554,4,3
1239,105,3
3121,45,3
1241,88,3
2612,227,3
74,217,3
2241,34,3
1825,23,2
1253,15,3
1828,39,3
3024,157,2
1829,16,2
1625,36,2
807,48,3
3346,43,3
1631,26,3
1632,18,3
3943,21,3
2421,36,2
1292,47,2
2625,25,2
2028,30,2
1299,39,3
2423,17,3
3483,67,3
3944,3,2
2637,8,2
136,58,3
2638,55,3
2071,88,3
2280,60,3
2640,16,2
3521,69,2
2841,7,3
2471,42,2
3672,70,2
1326,18,2
1840,24,3
1841,25,3
1842,9,3
2990,62,3
2646,41,3
2902,47,3
3492,27,2
3889,5,3
3770,31,2
3405,16,3
1349,7,2
3866,7,2
3945,63,3
2290,7,3
1357,65,2
3678,187,3
2657,5,3
3529,12,2
3869,32,3
2296,7,2
1366,58,3
603,181,2
1934,40,3
1370,30,2
3029,36,2
2038,100,2
2307,9,2
1385,13,3
1680,23,2
35,51,3
404,11,2
1394,17,2
1684,25,2
3891,27,3
1855,22,2
651,54,3
2508,20,2
1687,6,3
2313,18,2
1938,44,3
1860,42,3
2494,27,3
1694,122,2
1863,352,2
2672,30,2
2446,22,2
2083,29,2
3181,25,3
2332,75,3
1866,117,2
3230,1,3
3170,108,3
1435,65,2
2053,72,3
2918,35,2
3892,76,2
2479,33,2
1709,23,3
1875,26,2
3434,10,2
2061,18,2
3946,60,2
3947,149,2
3879,12,2
1466,9,3
2910,13,2
2360,5,2
592,4,2
3759,1,2
2065,88,2
1488,81,3
97,46,3
1728,22,3
694,29,5
3586,33,5
98,68,4
3190,65,3
410,211,5
3355,165,4
1892,46,3
2745,39,4
451,148,4
3259,130,5
2550,60,3
1741,90,3
1744,10,5
1896,69,5
163,72,5
1969,38,4
1522,39,5
3467,21,5
3199,38,3
2139,20,4
2145,63,5
1094,19,4
2486,39,3
1901,19,3
2391,24,5
2947,36,5
1767,68,3
3850,11,4
3696,24,4
3763,13,3
2394,32,3
1984,49,3
168,104,4
335,276,5
3580,25,3
1567,373,5
1569,11,5
1990,13,4
1148,51,5
2800,143,5
1150,48,4
1782,43,4
3387,37,3
1996,25,4
1997,41,3
14,35,5
3894,34,5
3514,15,5
3601,10,4
3948,2,3
1583,22,4
2200,25,3
3766,26,4
578,105,3
2082,6,3
2714,25,4
1602,33,4
122,48,5
123,38,4
3856,24,4
968,41,5
3426,50,4
3549,31,4
1218,82,5
3299,139,3
1228,41,4
2018,43,5
1924,74,3
1622,28,5
1821,38,5
1826,51,4
3175,34,5
133,32,4
1626,41,3
2721,42,4
2027,37,3
1643,14,4
774,31,5
3486,34,5
1836,35,5
1654,36,4
3157,309,3
3167,26,3
2279,31,4
80,46,5
1932,29,3
2763,10,4
2903,150,4
3496,36,3
2507,37,4
1662,111,4
1663,33,3
3584,138,5
1933,81,5
2292,13,3
1665,81,4
1368,20,5
1666,24,5
2300,50,5
1674,20,5
2306,20,3
292,108,4
86,205,5
3832,57,3
1685,31,3
248,77,3
249,220,5
1939,446,3
2670,13,5
1940,99,3
1697,79,5
1700,42,3
1870,39,3
3440,97,5
3689,1,3
1944,33,5
1708,51,3
408,86,5
3050,81,3
3038,35,5
1711,29,5
2682,26,4
1446,9,4
1450,8,5
3624,53,3
3575,50,3
3438,17,5
159,117,3
3949,9,4
1950,33,7
448,178,7
230,104,9
353,60,8
1739,62,6
1963,86,9
262,83,8
162,212,5
108,109,6
2922,51,6
3466,66,7
1090,47,7
8,79,8
1552,205,6
1906,72,5
272,421,6
235,104,5
169,87,6
1912,72,9
1166,8,6
13,69,7
3388,45,6
2406,133,6
1595,151,5
203,68,7
1201,165,9
124,237,6
2220,83,5
1234,98,8
375,223,6
1925,51,8
207,122,8
2825,118,7
24,270,7
1927,298,5
1827,111,5
1270,35,8
2422,79,5
2492,260,9
1306,169,7
3802,53,6
400,111,8
243,38,6
364,57,8
2518,62,5
2286,67,9
3829,86,8
3041,293,6
2519,116,7
3683,78,7
1672,824,6
293,131,7
347,62,9
366,85,6
406,92,7
297,277,6
1702,89,5
1433,42,9
1704,61,8
1871,56,5
3171,46,5
837,25,9
1442,17,5
2054,132,5
384,107,8
2056,86,9
1947,26,7
2057,17,6
223,33,6
2511,21,5
46,10,9
1449,27,9
3692,11,5
3693,18,5
3825,38,7
445,713,9
526,613,9
1720,333,6
305,25,6
1888,121,7
1731,11,6
960,42,7
1496,65,4
1501,76,7
1734,120,4
1044,83,7
2541,39,6
2115,35,7
449,108,7
2776,128,6
3465,8,5
266,61,7
1748,97,7
389,94,7
3782,26,5
3950,40,4
1523,38,7
1527,52,4
1532,19,6
1761,24,7
3540,40,4
3821,13,6
114,50,6
1556,60,6
2393,57,7
273,247,4
1132,247,4
275,250,5
196,20,4
357,160,6
1140,45,6
1986,47,4
2799,29,5
1911,41,4
3243,36,7
2080,92,5
1998,17,7
2516,101,6
3951,28,4
1176,123,6
3547,69,4
1182,92,6
281,37,6
2490,54,5
1794,47,7
1210,56,5
3151,134,6
3393,17,6
3581,36,5
962,6,6
2413,102,5
2818,370,4
1815,106,4
1816,45,7
2234,219,5
1817,414,7
284,11,6
2022,84,4
3246,26,4
2755,19,4
76,66,7
1278,39,4
1285,55,5
1286,143,6
1297,543,7
422,71,7
3401,34,4
1321,70,5
81,26,7
242,43,4
1331,29,7
30,49,4
2524,37,4
3748,16,7
2506,87,7
441,83,4
2651,33,7
84,177,7
290,196,5
3253,312,7
1848,23,4
2036,226,5
1849,85,5
3783,44,4
3751,25,6
1670,36,5
1377,31,7
3224,94,4
1686,46,7
1857,66,7
88,72,4
1411,350,5
147,182,5
1419,38,6
570,82,6
298,342,7
2330,57,7
1701,55,7
1867,69,4
148,59,6
299,184,7
41,54,7
1439,42,7
3049,58,7
153,13,7
186,26,7
3353,16,6
92,9,7
3830,14,5
2063,54,7
226,97,6
1475,68,6
1885,85,6
96,45,4
1727,64,5
