评论	得分
我不知道这本书要宣扬的是什么？有的人天生幸运？有的人活该倒霉！	3
读感好似一副厚重的油画	4
男生女生金版over	2
不要回头看。眼前的万丈深渊和沟壑雾霭，都是内心深处的镜像影射。	5
今天偶然发现摆渡人出了第三本想起，当时班里就只有第一第二两版各一本，相互借着断断续续哭着看完了	4
好白痴的女主	3
感觉很一般	1
勇气和爱能克服万般困难，魔幻现实小说	3
超喜欢治愈系的书籍，闲暇时光细细品味，我记得当时我用了一下午就把这本书看完了。故事情节跌宕起伏，很吸引人！	4
呃，评论前看了下大家的，果然不是我一个人的感觉，就宣传大于内容啦，不止一个地方生起对迪伦的不喜欢，就是披着爱的名义的任性啊	3
在火车上读完的一本书，火车轰隆隆穿隧道时令我觉得仿佛与书中世界接轨。非常治愈的小说，我挺喜欢这种（可能小女生都喜欢这种呢），而且对人物语言的一些细节用词处理很细腻和到位，喜欢。	4
15岁的女孩迪伦在一场火车事故中死亡，跟着摆渡人崔斯坦一路穿行抵达了彼岸。因为爱情，迪伦踏上了返程之路，再次与崔斯坦相遇，和他一起回到人间。	4
够烂…剧情毫无亮点。	1
机场买的，分数给的想象力，其他比较失望，给中学生看的吧	3
感情的确渲染的还是不错的，细节蛮有感觉，但是不够真挚，不够感动。然而故事太简单，没什么转折，人物形象太扁平化，剧情比较生硬。一个较大的问题是，世界观太宏大，所以设定太过自由，本书又侧重玛丽苏的爱情，并不太关注设定，想到哪儿写到哪儿。一般来说，要么就在现有的世界观上进行一点一点的扩充，如知更鸟女孩，要么就把宏大的世界观用宏大的故事展现出来，如黑暗塔。本书在极其宽广的世界观中自由探索，就显得有点儿戏。本书对死后世界的描绘虽然平淡，但也略有意思。	3
不值得买纸质版的来看。前面节奏慢，中间度过荒原的过程还算可以，可是后面说迪伦崔斯坦彼此喜欢就觉得这本书层次降低了。一个给各种各样无奇不有的灵魂当摆渡人的崔斯坦，后期我真的没办法理解。	3
前后十分简短，没有意思，主人公看起来都像是“纸片”，中间的部分太过冗长，里面的跨越过程就像是孙悟空大闹阎罗殿一样，感觉我国随随便便的的民间传说都能将其秒杀，毫无新颖之处，里面所谓治愈也只是故作深情。（感觉中文版这么烂，也可能是因为翻译不太行的原因）	2
可能每个人心中都想要有一个摆渡人来救赎自己吧！	3
摆渡，是一种很难的情感吧。	4
书看到后半部分就跟开2倍速看剧一样滑稽无聊至极	2
女主摆渡途中一直在作死，路上的波折百分之九十都是她自己作出来的，这样的女主有什么意义？男主因为女主的吃醋导致一个灵魂的消亡，后来就算女主带着光环救了一个小孩子灵魂，有用吗？两个人还能愉快地在一起剖析感情？	1
爱是可以战胜一切的力量	4
德不配位，信了各种宣传的邪	2
挺一般的 评分低是有原因的 没什么吸引人的故事情节 就是在讲爱情 爱情线也不怎么样 	2
简读	4
感动	5
第一次在网上买书，就被开篇骗了，后面都是些什么破烂情节，好想找商家退款啊，现在才发现我买成31，还有卖18的。其实我只想给半颗星	1
我真的觉得一般般，没有太多出色的地方。	3
直击生死，面对爱情的坚决	5
如果我真的存在，也是因为你需要我。	4
看评价很高去买了一本，看完后被震惊到了。情节毫无逻辑可言，世界观架构不起来，情节累赘，没有任何关于人生的思考，通篇都是在讲爱情。完全就是一本变相的网络言情小说。	2
这本书我只能评价它为披着毒鸡汤（渡人又渡几）的爱情玛丽苏小说。以至于看完第一部压根没有兴趣读第二部，小说在女主到了另一边就该结束了，然后鬼知道作者在想什么	2
还是蛮喜欢的	4
情节很吸引人，我最后想的是，他们两个在现实生活中怎么生存	4
看评论一水的不屑 其实我挺喜欢的呀 故事简单 但是有打动我 也许爱情离我太远了 现在看他们感情的建立和为对方的付出确实有打动我 一点也不希望他们这么快就走完了荒原 因为不希望他们的故事结尾  好在最后的结局圆满 迪伦也许不是最好的女孩的性格 但是每个人都有自己的发光点 每个人都能被爱 我觉得也没有什么问题呀 对我来说 很治愈 嗯😊	4
初中言情小说水平，类似于霸道总裁爱上我。	1
深层含义什么的是没有的，当言情小说读一读还可以。	3
书比较简单，甚至有点水，一目十行的看了！人设、感情线都相当虚！	2
看不下去于是乎没看完，不知道为啥是畅销书	1
好无聊一本书 想当年打发上课时间结果读了一个周才勉强看完	3
看完之后超级暖～	5
不知道他想说什么，广告做的太好了。完全没有震撼的点。但可以当一个故事书看看。	2
地底下的爱情延续到地面，爱的另外一种表达方式，也就这么回事了。估计老外早熟，15岁的小姑娘恋上不知道多少百岁的灵魂摆渡人，然后发展出一段充满坎坷的爱情故事，从现实到地下，空间和时间的转换，完全不知道怎么就过渡了，又不知道怎么又从下面回到了地面。休闲读读就好，没必要太认真读。	3
就当个比较有新意的故事读吧，宣传太假了，作者和书都没有宣传的那么好	3
2018.5畅销书，虽然故事情节没有太大的惊喜，但却让我开始思考与畅想死后的世界，或许肉体的湮灭并不会带来灵魂的灭亡，人们需要经历一番关于毅力、耐力、信念、奉献、爱与救赎的考验，成功便可以去往另一个世界去亲人团聚，所以也不必对死亡抱有太大的恐惧。	4
我以为它是慢热，结果看了接近一本之后我才发现原来它是真的差。	1
故事比较老套，思维却比较新颖，亮点是克莱儿的文笔，还是本好书，至少我喜欢鸡汤(๑>؂<๑）	4
时间一直走，没有尽头，只有路口。这本书与恶魔👿对抗的情节很生动！看得我身临其境，很棒的一本书 接着还要去看2，3！	5
爱情网文了	4
书中所描写的迪伦和崔斯坦的感情稍觉有些突兀，接受但不认同	3
作者的文笔也挺好的，引人入胜，当时看得疯魔了一样的沉迷其中。	5
我觉得还是别太在意平均分吧。对于我来说这是一本非常浪漫的小说，世界之大，又有哪里逃的过情爱这个词呢，没必要对什么饥饿营销啊什么的就对书有什么意见，不喜欢看也只能说明你不喜欢这种书或者说不喜欢作者的这种写作方式罢了，对于我来说这种坚定的爱情就是我所向往的。现实太过苟且，书成为我慰藉心灵的一种方式吧。	4
思春期少女真的脑残又可怕。。	2
摆渡人系列的第一部真的是一本好书，它教会了我如何去表达自己的情感，了解了新世界，看完之后我觉得我的脑洞又大了一些。	5
被推荐，读完后悔系列。	1
特意搜索这本，然后给个差评	1
大概比较符合小姑娘的幻想。开头还有点感兴趣，后来实在是觉得浪费了我的时间，好在简单不过脑，3个小时也就看完了。大概我的高点已经被提高了，再也不是怀春少女了。	3
你又是需要。那个人百度呢？	3
如果这世界真有摆渡人，那么我的摆渡人她在哪里呢？	4
"用一天时间看完了，不好意思，我个人觉得故事简单，没啥深度。(有可能是我个人欣赏能力低)，也没有读出太多内涵。
但是，我觉得书中周围环境，人物细节的描写不错，所以给三星。"	3
通俗小说 通俗易懂	3
女主一路上因为美貌和男主的爱护喜欢上男主，难得可贵是她又返回去找男主。这一点让我比较感动 其余一般	3
如果每个人的生命中都有一个正确的摆渡人就好了	4
“嗨 原来 你在这里”“我在这里” 	4
情节无聊 特别俗套	2
我爱上了一束光。是快乐还是悲伤。	4
有点读《指环王》的感觉，儿童文学	4
其实就是个骑着高大上外皮的言情小说，而且男女主的爱情好水，他们的爱情更多是经历危险时对救命稻草的依赖之情。男主喜欢女主啥？把女主的好说的那么夸张，果然，男主都会为仿若三岁孩童的女主神魂颠倒v(´-ι_-｀)v。女主喜欢男主啥？她自己幻想的皮囊罢了。说白了，他俩就是单身太久了。	2
有点特别的言情小说	3
读着读着，愈发感觉像一本童话故事了，如同小王子一直守护着玫瑰花似的，对他们以后的生活充满了期望，崔斯坦希望迪伦好~	5
如果命运是一条孤独的河流，让我们成为彼此灵魂的摆渡人。	3
故事的开始就注定了女主的不平凡，情节跌宕起伏，代入感很强烈，单纯善良的女主，帅气又有责任感的男主，一次次摆脱“魔鬼”的利爪，打破常规定律，一起创造了新的奇迹，最终如愿以偿的圆满结局，故事连接紧凑，人物情感表达细腻，能让读者产生心灵共鸣，值得一看！	4
本来期待这本书可以告诉我答案，并没有	3
这本书的评论我会和二一起写。	4
完全被出版商抬高忽悠的一本书，近一段时间以来读过的最差的书没有之一。不知道是不是被碰的太高的缘故，落差太大，什么与指环王一般的壮阔，云泥之别。混充还是很多书店放在推荐书架上的作品，我要把这些书店也拉黑了……	1
爱情是小说永恒的主题，它不但是小说形成的根本，而且使人类美好的感情得以展现。	3
宣传的时候居然和《追风筝的人》相提并论！这只是一本简单的科幻言情小说。并且是无脑的那种。	1
从哪里看出这种莫名其妙的恋爱脑是最有趣、珍贵的灵魂的？	2
(如果我真的存在，也是因为你需要我)我们每个人心中都有一个荒原，这个荒原的产生来自我们内心的映射，我们自身就是我们自己的摆渡人。	3
特别想安利《摆渡人》，一直想看拖到现在的这本书，终于趁这几天没课把它看完了，感觉它和上学期看的《解忧杂货店》一样讲love death life，一直很喜欢这句话，“如果我真的存在，也是因为你需要我”是有点脱离现实却又很真实的一种感觉，可能很多人觉得故事有点玛丽苏，但是我觉得它很温暖，在天堂和地狱之间的那片荒原是人心投射的心像，你的际遇，你的感受，你成长的环境，你对这个世界的感知，成就了这片荒原的模样，是阳光明媚还是大雨倾盆，是一马平川还是山路泥泞处处沼泽都是因你而发生。我们每个人都在独自经历自己人生的荒原，毕竟灵魂只能独行，或许有一天你会发现，你才是你自己人生的摆渡人，只你自己才能摆渡自己。   	5
看不下去了	3
一般，没觉得主角间的爱情多伟大	3
前半段读完既然做了噩梦，我这脆弱的心脏啊，觉得很值得读	4
一个通宵读完。个人觉得前半部分还是很不错的，本以为是关于灵魂的救赎，其实是个俗套爱情故事。情节有许多说不通的地方，但总的来说很想让人读下去，想知道故事的结局。我也曾梦见过一个模糊的身影，两次，不知道他会不会是我的摆渡人呢。	4
没有想象中那么惊艳的故事，描写也比较一般，但是结局还是可以的	3
想靠一本书救赎人性，别傻了。那只是营销罢了。当小说看看解解闷还是可以的。	3
嗯，一言难尽，真的是想不到是为什么成为畅销书的，无论是故事，还是所谓荒原世界的塑造其实都是没有一个统一的系统的。心灵成长，可能自己已经过了这个时期吧。	2
怎么名声这么大的书写的这么一般?幼稚。。。	2
一本读了三年的书...	2
看到一半，看不下去了，重复的逃跑，还有点玛丽苏，弃。	2
这本书教会我，什么年度畅销书排行榜，大多都是不真实的数据刷出来的，内容不一定有多好。记得买这本书的时候，我犹如独自置身荒野中的孤独，很想寻找一点帮助自己内心的力量，被封面上的一句“如果我真的存在，也是因为你需要我”吸引，以为此书会好像圣经那样教导我摆渡自己，翻开才发现是一个简单的爱情小说，整本书很大部分就是两个人在荒野中行走，就是沼泽，湖，安全屋，这几个情节不断重复。本以为崔斯坦教会迪伦真正的摆渡人是她自己，结果是迪伦把崔斯坦带到人间，从此王子公主幸福生活的结局，就是最普通的爱情故事结果，我有点怀疑作者写的是她自己的一个梦，崔斯坦是一个理想的脱离现实，一个梦里的人物，总的来说，这本书就是名字取得好。	2
看到最后原来是一本言情小说。。。	3
当年的畅销书，但是说实话不知道是翻译的原因还是别的什么，读起来比较生硬，没有那种行云流水，眼前都是画面的感觉。	2
钟汉良推荐的	4
老早这本小说真的很艰难，中途很多次想放弃，但是还一次次的坚持，想到做事还是要有始有终还是看完吧，很不好看，全程没有亮点，很拖拉，不知道在讲啥，不好看	1
如果我真的存在，也是因为你需要我	4
"一个叫迪伦的女孩由单亲妈妈抚养长大，自己在坐火车去见亲生父亲的途中发送意外，爱上了渡送她的灵魂穿过荒原的摆渡人，和崔斯坦逃过被恶魔吃掉穿过一个又一个安全屋，最后重返人间的故事。
我觉得结局太过童话啦，摆渡人不可能生活在人类的世界，第二部也对摆渡人进入人类世界做出了相应的惩罚？……"	3
很感人 迫不及待买了2和3  付强的翻译很好 很多文段写的非常的精彩 这个小说故事很感人 付强翻译可以把女主遇到的危险淋漓尽致的表达出来 	4
平淡无奇	3
这是一本很普通的魔幻爱情小说，文笔也很普通，不知道是不是翻译的水平不够。	3
剧情根本就不行，而且我并没有觉得女主角有什么东西可以让一个挺优秀的男孩子去喜欢他，没有啊，没道理呀，她没有样貌，也没有性格。单凭这一点，整个小说的根基基本坍塌，接下来就全不用看了，你的心中就会存在蒂姬。整本书看了就会非常别扭。	1
当做一部奇幻电影看	3
很喜欢，就是这个构思，全书最后一部分最佳	5
我打高分，是因为读起来迪伦的情愫纯粹干净，同样崔斯坦也是。我喜欢这样的爱情。	4
今天逛书店看到这书居然出到第三本了 无语"	3
或许爱情都是这样，反正我从这本书中没有看出出彩的地方。	3
渣渣一样的书，浪费时间。宣传做的还真不错，被忽悠了	1
一本低俗无聊的言情小说，名不副实，我买的这本书的时候，豆瓣评分还将近8，结果大失所望	1
第一部真真是让人欲罢不能，看到爱情让人温暖，让人充满勇气，让人治愈，让人重新活过来	4
"看完觉得自己浪费了二十多快
更生气的是我居然浪费了一晚上看这本书"	1
故事平淡，感情幼稚，逻辑苍白，不值一读。	1
信念很重要，保持好心情也是。讨厌迪伦不自量力救人导致遭遇危险和因心情变坏影响环境而惹来麻烦等等，怎么感觉我是站在崔这边的角度看问题，大概是与我怕麻烦喜欢一层不变的性格有关，另本是当治愈系小说来读，后半部分爱情故事成分多了点，不知是不是我读岔了。	5
当小说看蛮有意思的，但是小说的深度没封面说的那么离谱，当普通爱情小说看就得了。	3
我用最合适的相貌出现在每个灵魂面前。在遇到下一个灵魂之前，我一直保持这样的相貌。我不知道自己遇到第一个灵魂之前是什么模样。如果我真的存在，我的存在也是因为有你们的需要。	4
有时候想象一个世界很好玩，当他它有着完全不同的规则时	4
一星祭我买书钱，一星祭浪费生命的树。	2
这本书简直就是架空的言情小说，而且男女主相爱的我无法理解，如果如果根据实际情况，他应该是一个老人，那就是一个老头和一个初中生相爱的故事，这是我近两个月以来看的最难看的小说 。而且他架空那个世界的道理根本就没有讲清楚。	1
铺天盖地的差评，看来我看着枯燥还是有那么一点点的说的过去。	3
情节过于简单了，优点对于情感和人物关系进展的描写。不知道之后能不能把后续的故事说圆。	3
一个并不能吸引我的爱情故事。	2
赞誉太夸张了，不是很喜欢这本书	2
"害，失望了
db一直有人说好看，我抱着很大的期待去看，结果......到底有什么特别的性格和相貌让他对迪伦刮目相看，感觉没有特别体现出来。直到最后她从彼岸归来独自穿越荒原，才感觉有点意思，可惜结尾很快来临，毫无创意的大团圆，有情人在人间聚合。那迪伦坐火车前对公园大门若有所思的表情，那摆渡人到底是不是人类，他怎么会成为摆渡人，摆渡人可以来到人间吗，这种问题作者都没有解释，爱情可以突破一切障碍，无逻辑可言。"	3
每一次看完一本书总会想着拥有一个和书里的谁差不多的人在身边，当然这本书里必然是崔斯坦，那句话一度作为QQ签名：I exist because you need me"	4
前面挺精彩的 后面分分钟想弃 女主还害了无辜的人 气死人	3
很一般吧	3
两个温柔的人呀	3
看完之后有点不太能理解它火的原因，可能是还没太读懂它吧。	3
"#摆渡人# 摆渡人还是精彩了不少 可能我还是只能理解小说吧[摊手]
摆渡人匆匆划过 初生的炉火迅速熄灭 却带给你希望 帮你成长 并教你稳重"	5
前半部分还有点眼前一亮的感觉，因为没有想到故事带有玄幻色彩，但后半截自带主角光环的披荆斩棘叙述太过冗长，且男女主情感体现并没有很充分，个人认为男主摆渡人的身份应该个性更加独特鲜明硬朗，读完并无意犹未尽之感。	3
营销书。不好看。	2
设定是高于生活的 并且让人眼前一亮 但剧情也太庸俗了。。。（我为什么在读之前没有查一下豆瓣评分）	3
迪伦爱上了他的摆渡人崔斯坦，然后为了去找回他，从另一个世界出来回了荒原，然后和崔斯坦逃离荒原，都复活了。有点扯，然后灵魂摆渡的时候，每天都要在天黑前到达安全屋，不然会被恶魔抓住，但是这恶魔杀伤力看起来也不强啊，整得和玩游戏一样。	3
不值得看，圈钱的书	1
三年前的夏天的记忆	4
迪伦与崔斯坦	5
艰辛的爱情故事。	5
一个很烂的故事，作者文笔也不怎么样。	1
宣传中更多说是心灵治愈书籍，看的过程中觉得成了爱情小说，后面很大一部分写他们二人的冒险旅程，中间还是有些亮点的，最后二人的相遇算是满足了读者吧！	4
很少标记看过但未看完一本书。真的不喜欢，叙述啰嗦，语言寡淡无奇，严重不推荐。	1
三星半吧。故事开头很有新意，但是中间偏无聊，男女主如何艰难过荒原云云，很拖沓，让人觉得会不耐烦。但是看到快结局那一段，还是挺好的，尤其是结局两人的对话，所有一切尘埃落定，万事圆满。但是我不打算看2和3，中规中矩的小说，和外界的夸奖来相比，有些德不配位的感觉。	3
作为畅销书也是火的没道理。还是别去读了，浪费时间。	2
充满善良与真爱的玛丽苏故事	4
还行吧，普通畅销小说的水平。	3
本来很好的题材与创意，被硬生生刻画成无聊的不能再无聊的庸俗的爱情故事。	1
很奇妙，这么美满的故事吗？	5
只能说是讲了一个角度比较新奇的故事，海星吧	3
这本书就是在浪费时间和金钱	1
故事的发展并不好，爱情来的很突兀，或许也不是爱情	3
其实摆渡人1确实还可以。但是摆渡人2加上的内容反而让我对摆渡人1的结尾有点失望了orz	3
有点无聊	2
"一中午一节英语课一节自习课和半节数学课看完，是班级图书角的书。
感觉故事很吸引人，摆渡人会在你最痛苦的时候出现他了解你的一切会变成你喜欢的模样然后无条件的保护你。天呐，世界上真的有这样的人吗？女孩的性格和我有点像，我大概比她还缺爱[捂脸/]，然后基本上看下来就是春心荡漾，我他妈一个大老爷们。觉得不仔细想挺美好的，反正也不知道为啥摆渡人爱上了女主，和后面一些乱七八糟的东西。而且觉得没什么内容没啥营养，但是不可否认的是这种玛丽苏式的爱情还挺吸引我。自己大概成不了一个没有感情的杀手，在困难的情况下能有人抱一抱真的太温暖了，天呐！！！！！
但是理智告诉我，现努力过好自己吧。这样才有精力去爱别人。
第二部我是不准备看了。"	4
嗯……言情小说？	3
构思很大胆，但在细节处理上比较差。	3
书的前半部分非常吸引我，因为一直不知道摆渡人是什么意思，看了书才懂。但是看到后半部分也有些无聊，可能也和自己阅读书的心态不一样吧。	4
内容看得我有点压抑，那种鬼压床，喘着气想醒来醒不来的那种压抑。大概是描绘了文中的主人公昏迷时产生的幻觉......	3
很少看国外的小说，不太能理解他们的文化，而我在一间咖啡屋打发时间的时候选了它，一气呵成。漫无边际的孤独感，最终算是被爱情拯救了吗？	3
